
      2018 Julio (p);97,537
      2018 Junio;93,875
      2018 Mayo;92,753
      2018 Abril;86,739
      2018 Marzo;100,367
      2018 Febrero;74,413
      2018 Enero;77,445
      2017 Diciembre;116,047
      2017 Noviembre;82,827
      2017 Octubre;93,850
      2017 Septiembre;84,230
      2017 Agosto;88,997
      2017 Julio;92,448
      2017 Junio;82,977
      2017 Mayo;93,043
      2017 Abril;73,463
      2017 Marzo;99,100
      2017 Febrero;85,962
      2017 Enero;68,920
      2016 Diciembre;111,638
      2016 Noviembre;122,013
      2016 Octubre;77,882
      2016 Septiembre;107,722
      2016 Agosto;80,297
      2016 Julio;76,729
      2016 Junio;72,384
      2016 Mayo;95,918
      2016 Abril;94,109
      2016 Marzo;82,547
      2016 Febrero;65,778
      2016 Enero;52,299
      2015 Diciembre;94,420
      2015 Noviembre;124,417
      2015 Octubre;111,941
      2015 Septiembre;74,856
      2015 Agosto;44,717
      2015 Julio;64,030
      2015 Junio;63,651
      2015 Mayo;90,654
      2015 Abril;89,086
      2015 Marzo;180,817
      2015 Febrero;210,591
      2015 Enero;50,820
      2014 Diciembre;128,106
      2014 Noviembre;117,022
      2014 Octubre;181,774
      2014 Septiembre;88,997
      2014 Agosto;52,105
      2014 Julio;128,480
      2014 Junio;165,882
      2014 Mayo;123,935
      2014 Abril;115,582
      2014 Marzo;135,062
      2014 Febrero;78,796
      2014 Enero;121,320
      2013 Diciembre;54,604
      2013 Noviembre;64,548
      2013 Octubre;151,848
      2013 Septiembre;101,726
      2013 Agosto;63,507
      2013 Julio;131,337
      2013 Junio;107,007
      2013 Mayo;112,553
      2013 Abril;135,492
      2013 Marzo;103,076
      2013 Febrero;138,161
      2013 Enero;114,638
      2012 Diciembre;62,431
      2012 Noviembre;68,004
      2012 Octubre;97,525
      2012 Septiembre;83,052
      2012 Agosto;71,398
      2012 Julio;99,612
      2012 Junio;111,823
      2012 Mayo;122,600
      2012 Abril;162,388
      2012 Marzo;133,870
      2012 Febrero;188,355
      2012 Enero;158,762
      2011 Diciembre;187,304
      2011 Noviembre;153,159
      2011 Octubre;193,178
      2011 Septiembre;170,833
      2011 Agosto;83,662
      2011 Julio;153,411
      2011 Junio;131,723
      2011 Mayo;165,336
      2011 Abril;183,580
      2011 Marzo;167,102
      2011 Febrero;165,005
      2011 Enero;141,736
      2010 Diciembre;186,915
      2010 Noviembre;188,980
      2010 Octubre;184,505
      2010 Septiembre;162,131
      2010 Agosto;124,610
      2010 Julio;194,144
      2010 Junio;160,410
      2010 Mayo;146,985
      2010 Abril;141,821
      2010 Marzo;174,867
      2010 Febrero;160,065
      2010 Enero;138,379
      2009 Diciembre;269,185
      2009 Noviembre;203,438
      2009 Octubre;226,845
      2009 Septiembre;215,142
      2009 Agosto;111,185
      2009 Julio;281,577
      2009 Junio;151,804
      2009 Mayo;203,782
      2009 Abril;198,274
      2009 Marzo;264,366
      2009 Febrero;198,619
      2009 Enero;180,375
      2008 Diciembre;257,826
      2008 Noviembre;237,172
      2008 Octubre;342,505
      2008 Septiembre;321,852
      2008 Agosto;153,525
      2008 Julio;393,451
      2008 Junio;414,104
      2008 Mayo;281,921
      2008 Abril;381,403
      2008 Marzo;319,098
      2008 Febrero;364,880
      2008 Enero;349,390
      2007 Diciembre;422,366
      2007 Noviembre;465,050
      2007 Octubre;451,969
      2007 Septiembre;317,721
      2007 Agosto;283,298
      2007 Julio;461,952
      2007 Junio;338,375
      2007 Mayo;623,738
      2007 Abril;503,948
      2007 Marzo;609,281
      2007 Febrero;455,756
      2007 Enero;366,945
      2006 Diciembre;409,285
      2006 Noviembre;557,303
      2006 Octubre;623,394
      2006 Septiembre;400,680
      2006 Agosto;244,057
      2006 Julio;384,501
      2006 Junio;512,553
      2006 Mayo;363,847
      2006 Abril;338,719
      2006 Marzo;342,161
      2006 Febrero;232,353
      2006 Enero;341,128
      2005 Diciembre;352,832
      2005 Noviembre;390,697
      2005 Octubre;341,128
      2005 Septiembre;373,486
      2005 Agosto;298,789
      2005 Julio;394,828
      2005 Junio;378,305
      2005 Mayo;362,815
      2005 Abril;352,144
      2005 Marzo;310,148
      2005 Febrero;303,264
      2005 Enero;272,283
      2004 Diciembre;372,797
      2004 Noviembre;383,124
      2004 Octubre;387,943
      2004 Septiembre;385,534
      2004 Agosto;262,645
      2004 Julio;407,220
      2004 Junio;395,860
      2004 Mayo;386,222
      2004 Abril;365,569
      2004 Marzo;389,320
      2004 Febrero;377,616
      2004 Enero;362,815
      2003 Diciembre;282,954
      2003 Noviembre;410,662
      2003 Octubre;311,869
      2003 Septiembre;286,741
      2003 Agosto;189,325
      2003 Julio;302,575
      2003 Junio;433,037
      2003 Mayo;417,547
      2003 Abril;393,107
      2003 Marzo;375,207
      2003 Febrero;162,819
      2003 Enero;163,163
      2002 Diciembre;191,046
      2002 Noviembre;201,372
      2002 Octubre;209,978
      2002 Septiembre;187,603
      2002 Agosto;173,146
      2002 Julio;230,632
      2002 Junio;190,357
      2002 Mayo;207,913
      2002 Abril;224,780
      2002 Marzo;196,209
      2002 Febrero;162,819
      2002 Enero;218,928

