
      2018 Julio (p);102,755
      2018 Junio;101,149
      2018 Mayo;106,144
      2018 Abril;100,469
      2018 Marzo;98,361
      2018 Febrero;82,082
      2018 Enero;92,337
      2017 Diciembre;97,519
      2017 Noviembre;112,452
      2017 Octubre;110,496
      2017 Septiembre;99,568
      2017 Agosto;97,965
      2017 Julio;103,395
      2017 Junio;103,974
      2017 Mayo;94,274
      2017 Abril;90,705
      2017 Marzo;111,839
      2017 Febrero;90,513
      2017 Enero;100,123
      2016 Diciembre;94,569
      2016 Noviembre;101,641
      2016 Octubre;92,570
      2016 Septiembre;98,149
      2016 Agosto;101,140
      2016 Julio;100,514
      2016 Junio;100,373
      2016 Mayo;98,865
      2016 Abril;102,107
      2016 Marzo;101,995
      2016 Febrero;98,273
      2016 Enero;96,297
      2015 Diciembre;102,543
      2015 Noviembre;101,587
      2015 Octubre;103,618
      2015 Septiembre;101,294
      2015 Agosto;100,784
      2015 Julio;113,357
      2015 Junio;100,791
      2015 Mayo;95,107
      2015 Abril;90,801
      2015 Marzo;101,940
      2015 Febrero;89,103
      2015 Enero;99,074
      2014 Diciembre;93,315
      2014 Noviembre;93,352
      2014 Octubre;111,928
      2014 Septiembre;101,216
      2014 Agosto;94,170
      2014 Julio;109,560
      2014 Junio;99,869
      2014 Mayo;96,371
      2014 Abril;99,548
      2014 Marzo;92,142
      2014 Febrero;94,214
      2014 Enero;102,979
      2013 Diciembre;92,910
      2013 Noviembre;103,447
      2013 Octubre;109,445
      2013 Septiembre;96,433
      2013 Agosto;98,481
      2013 Julio;106,949
      2013 Junio;90,835
      2013 Mayo;100,128
      2013 Abril;101,699
      2013 Marzo;98,512
      2013 Febrero;89,370
      2013 Enero;100,264
      2012 Diciembre;81,133
      2012 Noviembre;98,416
      2012 Octubre;111,403
      2012 Septiembre;96,310
      2012 Agosto;105,593
      2012 Julio;102,948
      2012 Junio;97,918
      2012 Mayo;98,274
      2012 Abril;88,576
      2012 Marzo;103,989
      2012 Febrero;95,167
      2012 Enero;102,657
      2011 Diciembre;100,828
      2011 Noviembre;110,629
      2011 Octubre;106,145
      2011 Septiembre;106,201
      2011 Agosto;110,125
      2011 Julio;105,774
      2011 Junio;107,814
      2011 Mayo;102,295
      2011 Abril;97,964
      2011 Marzo;107,427
      2011 Febrero;92,854
      2011 Enero;91,750
      2010 Diciembre;97,291
      2010 Noviembre;104,846
      2010 Octubre;89,966
      2010 Septiembre;92,598
      2010 Agosto;92,598
      2010 Julio;111,255
      2010 Junio;104,617
      2010 Mayo;97,864
      2010 Abril;98,665
      2010 Marzo;112,743
      2010 Febrero;98,550
      2010 Enero;87,791
      2009 Diciembre;93,056
      2009 Noviembre;101,412
      2009 Octubre;97,062
      2009 Septiembre;100,725
      2009 Agosto;92,026
      2009 Julio;112,400
      2009 Junio;106,791
      2009 Mayo;100,153
      2009 Abril;105,876
      2009 Marzo;118,009
      2009 Febrero;101,412
      2009 Enero;108,279
      2008 Diciembre;109,081
      2008 Noviembre;114,575
      2008 Octubre;125,220
      2008 Septiembre;120,985
      2008 Agosto;96,948
      2008 Julio;118,924
      2008 Junio;102,556
      2008 Mayo;104,960
      2008 Abril;106,334
      2008 Marzo;98,321
      2008 Febrero;100,038
      2008 Enero;109,767
      2007 Diciembre;104,502
      2007 Noviembre;112,858
      2007 Octubre;117,894
      2007 Septiembre;99,809
      2007 Agosto;109,882
      2007 Julio;126,822
      2007 Junio;111,828
      2007 Mayo;112,400
      2007 Abril;103,358
      2007 Marzo;117,780
      2007 Febrero;98,436
      2007 Enero;114,460
      2006 Diciembre;107,707
      2006 Noviembre;124,189
      2006 Octubre;116,063
      2006 Septiembre;114,804
      2006 Agosto;115,719
      2006 Julio;117,894
      2006 Junio;122,816
      2006 Mayo;114,804
      2006 Abril;109,767
      2006 Marzo;121,900
      2006 Febrero;90,538
      2006 Enero;102,099
      2005 Diciembre;108,394
      2005 Noviembre;111,026
      2005 Octubre;104,388
      2005 Septiembre;119,725
      2005 Agosto;104,617
      2005 Julio;123,388
      2005 Junio;120,069
      2005 Mayo;102,442
      2005 Abril;146,853
      2005 Marzo;121,099
      2005 Febrero;102,099
      2005 Enero;109,424
      2004 Diciembre;113,774
      2004 Noviembre;119,497
      2004 Octubre;111,484
      2004 Septiembre;121,671
      2004 Agosto;108,279
      2004 Julio;133,919
      2004 Junio;136,437
      2004 Mayo;105,647
      2004 Abril;113,774
      2004 Marzo;128,196
      2004 Febrero;99,809
      2004 Enero;105,761
      2003 Diciembre;100,611
      2003 Noviembre;104,846
      2003 Octubre;126,135
      2003 Septiembre;105,532
      2003 Agosto;103,243
      2003 Julio;130,141
      2003 Junio;116,292
      2003 Mayo;110,798
      2003 Abril;111,599
      2003 Marzo;107,593
      2003 Febrero;97,635
      2003 Enero;111,599
      2002 Diciembre;94,773
      2002 Noviembre;109,767
      2002 Octubre;120,298
      2002 Septiembre;103,701
      2002 Agosto;105,189
      2002 Julio;119,954
      2002 Junio;108,966
      2002 Mayo;109,081
      2002 Abril;118,009
      2002 Marzo;118,810
      2002 Febrero;105,532
      2002 Enero;112,858


