
      2018 Julio (p);102,601
      2018 Junio;100,934
      2018 Mayo;105,749
      2018 Abril;100,065
      2018 Marzo;98,420
      2018 Febrero;81,856
      2018 Enero;91,899
      2017 Diciembre;98,065
      2017 Noviembre;111,579
      2017 Octubre;110,006
      2017 Septiembre;99,116
      2017 Agosto;97,701
      2017 Julio;103,073
      2017 Junio;103,355
      2017 Mayo;94,237
      2017 Abril;90,197
      2017 Marzo;111,463
      2017 Febrero;90,379
      2017 Enero;99,203
      2016 Diciembre;95,072
      2016 Noviembre;102,241
      2016 Octubre;92,137
      2016 Septiembre;98,431
      2016 Agosto;100,526
      2016 Julio;99,813
      2016 Junio;99,548
      2016 Mayo;98,778
      2016 Abril;101,871
      2016 Marzo;101,422
      2016 Febrero;97,315
      2016 Enero;95,000
      2015 Diciembre;102,422
      2015 Noviembre;101,927
      2015 Octubre;103,742
      2015 Septiembre;100,901
      2015 Agosto;99,950
      2015 Julio;112,623
      2015 Junio;100,239
      2015 Mayo;95,041
      2015 Abril;90,775
      2015 Marzo;103,114
      2015 Febrero;90,911
      2015 Enero;98,356
      2014 Diciembre;93,833
      2014 Noviembre;93,705
      2014 Octubre;112,968
      2014 Septiembre;101,034
      2014 Agosto;93,544
      2014 Julio;109,841
      2014 Junio;100,851
      2014 Mayo;96,781
      2014 Abril;99,787
      2014 Marzo;92,781
      2014 Febrero;93,984
      2014 Enero;103,252
      2013 Diciembre;92,340
      2013 Noviembre;102,868
      2013 Octubre;110,077
      2013 Septiembre;96,512
      2013 Agosto;97,961
      2013 Julio;107,312
      2013 Junio;91,076
      2013 Mayo;100,313
      2013 Abril;102,202
      2013 Marzo;98,580
      2013 Febrero;90,096
      2013 Enero;100,478
      2012 Diciembre;80,855
      2012 Noviembre;97,963
      2012 Octubre;111,196
      2012 Septiembre;96,113
      2012 Agosto;105,084
      2012 Julio;102,898
      2012 Junio;98,125
      2012 Mayo;98,636
      2012 Abril;89,674
      2012 Marzo;104,433
      2012 Febrero;96,554
      2012 Enero;103,492
      2011 Diciembre;102,115
      2011 Noviembre;111,262
      2011 Octubre;107,440
      2011 Septiembre;107,163
      2011 Agosto;109,731
      2011 Julio;106,483
      2011 Junio;108,169
      2011 Mayo;103,234
      2011 Abril;99,238
      2011 Marzo;108,315
      2011 Febrero;93,928
      2011 Enero;92,494
      2010 Diciembre;98,847
      2010 Noviembre;106,222
      2010 Octubre;91,591
      2010 Septiembre;93,732
      2010 Agosto;92,900
      2010 Julio;112,526
      2010 Junio;105,389
      2010 Mayo;98,490
      2010 Abril;99,085
      2010 Marzo;113,597
      2010 Febrero;99,442
      2010 Enero;88,498
      2009 Diciembre;96,468
      2009 Noviembre;103,248
      2009 Octubre;99,442
      2009 Septiembre;102,772
      2009 Agosto;91,948
      2009 Julio;115,619
      2009 Junio;107,292
      2009 Mayo;101,940
      2009 Abril;107,411
      2009 Marzo;120,734
      2009 Febrero;103,129
      2009 Enero;109,315
      2008 Diciembre;111,813
      2008 Noviembre;116,689
      2008 Octubre;129,417
      2008 Septiembre;124,778
      2008 Agosto;97,658
      2008 Julio;124,302
      2008 Junio;108,839
      2008 Mayo;108,244
      2008 Abril;111,813
      2008 Marzo;102,653
      2008 Febrero;105,270
      2008 Enero;114,548
      2007 Diciembre;110,980
      2007 Noviembre;120,020
      2007 Octubre;124,659
      2007 Septiembre;104,081
      2007 Agosto;113,240
      2007 Julio;133,461
      2007 Junio;116,214
      2007 Mayo;122,994
      2007 Abril;111,575
      2007 Marzo;127,990
      2007 Febrero;105,746
      2007 Enero;119,425
      2006 Diciembre;113,835
      2006 Noviembre;132,986
      2006 Octubre;126,562
      2006 Septiembre;120,496
      2006 Agosto;117,998
      2006 Julio;123,113
      2006 Junio;130,726
      2006 Mayo;119,663
      2006 Abril;114,310
      2006 Marzo;126,205
      2006 Febrero;93,137
      2006 Enero;106,817
      2005 Diciembre;113,478
      2005 Noviembre;117,165
      2005 Octubre;109,315
      2005 Septiembre;124,778
      2005 Agosto;108,244
      2005 Julio;128,941
      2005 Junio;125,254
      2005 Mayo;108,125
      2005 Abril;149,876
      2005 Marzo;124,183
      2005 Febrero;105,984
      2005 Enero;112,050
      2004 Diciembre;119,187
      2004 Noviembre;124,897
      2004 Octubre;117,522
      2004 Septiembre;127,038
      2004 Agosto;110,623
      2004 Julio;139,290
      2004 Junio;141,431
      2004 Mayo;111,931
      2004 Abril;118,950
      2004 Marzo;133,342
      2004 Febrero;106,103
      2004 Enero;111,218
      2003 Diciembre;103,962
      2003 Noviembre;111,931
      2003 Octubre;129,060
      2003 Septiembre;108,720
      2003 Agosto;103,605
      2003 Julio;132,510
      2003 Junio;123,351
      2003 Mayo;117,641
      2003 Abril;117,760
      2003 Marzo;113,478
      2003 Febrero;97,539
      2003 Enero;110,623
      2002 Diciembre;95,635
      2002 Noviembre;110,147
      2002 Octubre;120,377
      2002 Septiembre;103,962
      2002 Agosto;104,913
      2002 Julio;120,734
      2002 Junio;109,077
      2002 Mayo;109,671
      2002 Abril;118,712
      2002 Marzo;118,593
      2002 Febrero;105,032
      2002 Enero;113,597

