
      2018 Julio (p);140,177
      2018 Junio;144,211
      2018 Mayo;136,268
      2018 Abril;110,567
      2018 Marzo;108,331
      2018 Febrero;101,796
      2018 Enero;84,628
      2017 Diciembre;102,340
      2017 Noviembre;114,668
      2017 Octubre;96,902
      2017 Septiembre;75,531
      2017 Agosto;69,272
      2017 Julio;122,827
      2017 Junio;86,363
      2017 Mayo;90,256
      2017 Abril;87,333
      2017 Marzo;97,295
      2017 Febrero;91,857
      2017 Enero;85,653
      2016 Diciembre;99,449
      2016 Noviembre;102,887
      2016 Octubre;80,274
      2016 Septiembre;86,679
      2016 Agosto;89,767
      2016 Julio;92,364
      2016 Junio;101,153
      2016 Mayo;97,242
      2016 Abril;102,132
      2016 Marzo;113,944
      2016 Febrero;113,078
      2016 Enero;101,173
      2015 Diciembre;96,312
      2015 Noviembre;103,598
      2015 Octubre;100,403
      2015 Septiembre;101,552
      2015 Agosto;91,525
      2015 Julio;113,393
      2015 Junio;105,026
      2015 Mayo;99,834
      2015 Abril;91,999
      2015 Marzo;100,004
      2015 Febrero;94,817
      2015 Enero;101,536
      2014 Diciembre;100,197
      2014 Noviembre;108,703
      2014 Octubre;132,202
      2014 Septiembre;107,321
      2014 Agosto;97,719
      2014 Julio;116,633
      2014 Junio;107,107
      2014 Mayo;98,290
      2014 Abril;104,879
      2014 Marzo;105,661
      2014 Febrero;95,465
      2014 Enero;96,357
      2013 Diciembre;97,453
      2013 Noviembre;130,563
      2013 Octubre;110,274
      2013 Septiembre;108,653
      2013 Agosto;109,918
      2013 Julio;112,273
      2013 Junio;113,363
      2013 Mayo;118,078
      2013 Abril;131,139
      2013 Marzo;123,037
      2013 Febrero;123,926
      2013 Enero;128,303
      2012 Diciembre;139,050
      2012 Noviembre;142,936
      2012 Octubre;133,027
      2012 Septiembre;103,039
      2012 Agosto;131,264
      2012 Julio;146,485
      2012 Junio;150,091
      2012 Mayo;151,209
      2012 Abril;133,489
      2012 Marzo;150,550
      2012 Febrero;163,753
      2012 Enero;97,780
      2011 Diciembre;165,553
      2011 Noviembre;159,670
      2011 Octubre;144,596
      2011 Septiembre;170,330
      2011 Agosto;218,602
      2011 Julio;228,530
      2011 Junio;199,139
      2011 Mayo;204,600
      2011 Abril;159,067
      2011 Marzo;178,673
      2011 Febrero;137,293
      2011 Enero;139,587
      2010 Diciembre;218,728
      2010 Noviembre;213,176
      2010 Octubre;177,647
      2010 Septiembre;193,931
      2010 Agosto;149,520
      2010 Julio;172,836
      2010 Junio;176,167
      2010 Mayo;143,228
      2010 Abril;148,409
      2010 Marzo;152,110
      2010 Febrero;175,797
      2010 Enero;142,488
      2009 Diciembre;126,203
      2009 Noviembre;161,733
      2009 Octubre;178,017
      2009 Septiembre;146,929
      2009 Agosto;158,402
      2009 Julio;239,083
      2009 Junio;184,679
      2009 Mayo;184,309
      2009 Abril;219,098
      2009 Marzo;205,404
      2009 Febrero;263,510
      2009 Enero;188,750
      2008 Diciembre;205,775
      2008 Noviembre;229,461
      2008 Octubre;232,422
      2008 Septiembre;202,074
      2008 Agosto;193,931
      2008 Julio;297,559
      2008 Junio;239,453
      2008 Mayo;272,762
      2008 Abril;320,875
      2008 Marzo;227,240
      2008 Febrero;226,130
      2008 Enero;222,429
      2007 Diciembre;223,169
      2007 Noviembre;193,561
      2007 Octubre;197,262
      2007 Septiembre;165,434
      2007 Agosto;210,216
      2007 Julio;233,532
      2007 Junio;210,216
      2007 Mayo;215,397
      2007 Abril;203,184
      2007 Marzo;238,713
      2007 Febrero;239,083
      2007 Enero;270,912
      2006 Diciembre;259,439
      2006 Noviembre;320,875
      2006 Octubre;263,510
      2006 Septiembre;230,941
      2006 Agosto;228,721
      2006 Julio;230,201
      2006 Junio;284,605
      2006 Mayo;272,022
      2006 Abril;245,745
      2006 Marzo;291,637
      2006 Febrero;252,407
      2006 Enero;248,706
      2005 Diciembre;257,588
      2005 Noviembre;284,976
      2005 Octubre;311,623
      2005 Septiembre;266,471
      2005 Agosto;318,284
      2005 Julio;380,461
      2005 Junio;462,993
      2005 Mayo;443,378
      2005 Abril;381,571
      2005 Marzo;425,983
      2005 Febrero;455,221
      2005 Enero;452,630
      2004 Diciembre;302,370
      2004 Noviembre;402,667
      2004 Octubre;444,118
      2004 Septiembre;367,878
      2004 Agosto;294,968
      2004 Julio;367,878
      2004 Junio;381,941
      2004 Mayo;379,351
      2004 Abril;356,404
      2004 Marzo;394,525
      2004 Febrero;331,978
      2004 Enero;309,032
      2003 Diciembre;368,618
      2003 Noviembre;348,632
      2003 Octubre;461,512
      2003 Septiembre;311,252
      2003 Agosto;364,177
      2003 Julio;414,140
      2003 Junio;419,691
      2003 Mayo;385,642
      2003 Abril;551,446
      2003 Marzo;316,434
      2003 Febrero;411,179
      2003 Enero;444,858
      2002 Diciembre;317,914
      2002 Noviembre;329,757
      2002 Octubre;412,659
      2002 Septiembre;363,436
      2002 Agosto;333,828
      2002 Julio;392,674
      2002 Junio;374,909
      2002 Mayo;384,532
      2002 Abril;405,628
      2002 Marzo;334,569
      2002 Febrero;409,328
      2002 Enero;378,980


