
      2018 Julio (p);94,808
      2018 Junio;97,208
      2018 Mayo;102,105
      2018 Abril;95,183
      2018 Marzo;96,348
      2018 Febrero;84,826
      2018 Enero;97,516
      2017 Diciembre;93,081
      2017 Noviembre;117,870
      2017 Octubre;100,564
      2017 Septiembre;88,440
      2017 Agosto;90,117
      2017 Julio;96,731
      2017 Junio;92,393
      2017 Mayo;100,666
      2017 Abril;87,063
      2017 Marzo;107,704
      2017 Febrero;83,344
      2017 Enero;88,126
      2016 Diciembre;89,729
      2016 Noviembre;105,192
      2016 Octubre;94,961
      2016 Septiembre;98,365
      2016 Agosto;89,885
      2016 Julio;106,061
      2016 Junio;101,209
      2016 Mayo;99,176
      2016 Abril;103,571
      2016 Marzo;97,055
      2016 Febrero;92,176
      2016 Enero;85,570
      2015 Diciembre;98,720
      2015 Noviembre;100,364
      2015 Octubre;103,370
      2015 Septiembre;96,437
      2015 Agosto;86,459
      2015 Julio;110,140
      2015 Junio;103,240
      2015 Mayo;101,681
      2015 Abril;99,191
      2015 Marzo;106,001
      2015 Febrero;97,137
      2015 Enero;97,260
      2014 Diciembre;95,119
      2014 Noviembre;103,756
      2014 Octubre;119,666
      2014 Septiembre;105,560
      2014 Agosto;89,486
      2014 Julio;107,397
      2014 Junio;103,898
      2014 Mayo;97,815
      2014 Abril;93,118
      2014 Marzo;88,426
      2014 Febrero;95,979
      2014 Enero;92,585
      2013 Diciembre;95,907
      2013 Noviembre;94,551
      2013 Octubre;98,163
      2013 Septiembre;95,042
      2013 Agosto;88,375
      2013 Julio;102,577
      2013 Junio;94,653
      2013 Mayo;98,601
      2013 Abril;107,064
      2013 Marzo;96,200
      2013 Febrero;97,678
      2013 Enero;104,153
      2012 Diciembre;93,195
      2012 Noviembre;100,144
      2012 Octubre;110,963
      2012 Septiembre;105,319
      2012 Agosto;96,149
      2012 Julio;116,305
      2012 Junio;119,262
      2012 Mayo;121,846
      2012 Abril;113,810
      2012 Marzo;132,555
      2012 Febrero;144,184
      2012 Enero;134,448
      2011 Diciembre;144,778
      2011 Noviembre;150,160
      2011 Octubre;139,720
      2011 Septiembre;143,172
      2011 Agosto;122,050
      2011 Julio;139,668
      2011 Junio;143,193
      2011 Mayo;132,057
      2011 Abril;129,472
      2011 Marzo;147,159
      2011 Febrero;128,144
      2011 Enero;123,891
      2010 Diciembre;144,112
      2010 Noviembre;154,994
      2010 Octubre;152,347
      2010 Septiembre;141,760
      2010 Agosto;136,760
      2010 Julio;149,700
      2010 Junio;144,112
      2010 Mayo;136,760
      2010 Abril;141,465
      2010 Marzo;154,700
      2010 Febrero;128,525
      2010 Enero;134,113
      2009 Diciembre;149,700
      2009 Noviembre;163,524
      2009 Octubre;180,582
      2009 Septiembre;144,701
      2009 Agosto;142,348
      2009 Julio;164,994
      2009 Junio;147,642
      2009 Mayo;145,289
      2009 Abril;140,877
      2009 Marzo;155,289
      2009 Febrero;140,289
      2009 Enero;144,407
      2008 Diciembre;151,465
      2008 Noviembre;175,288
      2008 Octubre;189,111
      2008 Septiembre;175,876
      2008 Agosto;177,052
      2008 Julio;246,756
      2008 Junio;211,757
      2008 Mayo;229,109
      2008 Abril;249,991
      2008 Marzo;227,051
      2008 Febrero;246,756
      2008 Enero;236,462
      2007 Diciembre;249,991
      2007 Noviembre;269,402
      2007 Octubre;300,577
      2007 Septiembre;271,461
      2007 Agosto;247,344
      2007 Julio;304,989
      2007 Junio;278,813
      2007 Mayo;315,871
      2007 Abril;291,460
      2007 Marzo;337,929
      2007 Febrero;286,754
      2007 Enero;307,930
      2006 Diciembre;307,342
      2006 Noviembre;312,636
      2006 Octubre;316,753
      2006 Septiembre;298,519
      2006 Agosto;247,932
      2006 Julio;327,341
      2006 Junio;317,342
      2006 Mayo;327,341
      2006 Abril;283,813
      2006 Marzo;330,870
      2006 Febrero;280,578
      2006 Enero;272,343
      2005 Diciembre;292,931
      2005 Noviembre;294,695
      2005 Octubre;283,813
      2005 Septiembre;306,754
      2005 Agosto;242,344
      2005 Julio;317,636
      2005 Junio;319,694
      2005 Mayo;301,460
      2005 Abril;299,695
      2005 Marzo;292,637
      2005 Febrero;299,107
      2005 Enero;278,519
      2004 Diciembre;284,990
      2004 Noviembre;299,989
      2004 Octubre;285,872
      2004 Septiembre;285,284
      2004 Agosto;236,168
      2004 Julio;303,813
      2004 Junio;292,637
      2004 Mayo;272,343
      2004 Abril;271,755
      2004 Marzo;290,872
      2004 Febrero;247,932
      2004 Enero;221,757
      2003 Diciembre;294,989
      2003 Noviembre;264,108
      2003 Octubre;296,166
      2003 Septiembre;266,755
      2003 Agosto;222,345
      2003 Julio;269,108
      2003 Junio;276,167
      2003 Mayo;259,991
      2003 Abril;262,343
      2003 Marzo;270,873
      2003 Febrero;285,578
      2003 Enero;271,461
      2002 Diciembre;257,050
      2002 Noviembre;286,166
      2002 Octubre;309,695
      2002 Septiembre;274,108
      2002 Agosto;241,462
      2002 Julio;279,696
      2002 Junio;257,932
      2002 Mayo;272,049
      2002 Abril;270,873
      2002 Marzo;262,932
      2002 Febrero;254,697
      2002 Enero;262,638


