
      2018 Julio (p);95,390
      2018 Junio;90,119
      2018 Mayo;92,257
      2018 Abril;92,126
      2018 Marzo;99,049
      2018 Febrero;91,800
      2018 Enero;100,936
      2017 Diciembre;101,829
      2017 Noviembre;102,516
      2017 Octubre;105,930
      2017 Septiembre;96,662
      2017 Agosto;104,600
      2017 Julio;98,726
      2017 Junio;95,510
      2017 Mayo;96,309
      2017 Abril;93,272
      2017 Marzo;98,409
      2017 Febrero;89,152
      2017 Enero;104,098
      2016 Diciembre;101,991
      2016 Noviembre;97,609
      2016 Octubre;104,222
      2016 Septiembre;100,818
      2016 Agosto;104,904
      2016 Julio;101,524
      2016 Junio;94,318
      2016 Mayo;93,187
      2016 Abril;95,998
      2016 Marzo;101,089
      2016 Febrero;93,924
      2016 Enero;100,735
      2015 Diciembre;97,872
      2015 Noviembre;98,748
      2015 Octubre;101,908
      2015 Septiembre;104,667
      2015 Agosto;111,464
      2015 Julio;109,471
      2015 Junio;97,860
      2015 Mayo;104,316
      2015 Abril;88,003
      2015 Marzo;90,964
      2015 Febrero;92,821
      2015 Enero;101,904
      2014 Diciembre;102,769
      2014 Noviembre;105,062
      2014 Octubre;109,345
      2014 Septiembre;105,149
      2014 Agosto;101,717
      2014 Julio;102,185
      2014 Junio;99,125
      2014 Mayo;101,694
      2014 Abril;90,304
      2014 Marzo;93,350
      2014 Febrero;97,491
      2014 Enero;94,340
      2013 Diciembre;98,155
      2013 Noviembre;106,210
      2013 Octubre;107,394
      2013 Septiembre;103,366
      2013 Agosto;108,803
      2013 Julio;109,513
      2013 Junio;99,349
      2013 Mayo;97,120
      2013 Abril;94,630
      2013 Marzo;96,051
      2013 Febrero;88,616
      2013 Enero;95,100
      2012 Diciembre;98,739
      2012 Noviembre;104,994
      2012 Octubre;111,723
      2012 Septiembre;107,502
      2012 Agosto;113,562
      2012 Julio;110,445
      2012 Junio;105,299
      2012 Mayo;93,155
      2012 Abril;94,239
      2012 Marzo;102,677
      2012 Febrero;100,281
      2012 Enero;100,824
      2011 Diciembre;106,404
      2011 Noviembre;102,510
      2011 Octubre;101,039
      2011 Septiembre;101,802
      2011 Agosto;108,186
      2011 Julio;108,618
      2011 Junio;104,169
      2011 Mayo;101,163
      2011 Abril;97,462
      2011 Marzo;100,016
      2011 Febrero;93,000
      2011 Enero;99,439
      2010 Diciembre;101,045
      2010 Noviembre;97,348
      2010 Octubre;96,204
      2010 Septiembre;104,918
      2010 Agosto;117,768
      2010 Julio;115,832
      2010 Junio;103,421
      2010 Mayo;91,011
      2010 Abril;95,059
      2010 Marzo;95,852
      2010 Febrero;85,201
      2010 Enero;110,023
      2009 Diciembre;119,000
      2009 Noviembre;95,059
      2009 Octubre;99,636
      2009 Septiembre;98,492
      2009 Agosto;96,116
      2009 Julio;94,531
      2009 Junio;97,348
      2009 Mayo;100,957
      2009 Abril;90,923
      2009 Marzo;84,673
      2009 Febrero;93,563
      2009 Enero;83,617
      2008 Diciembre;105,358
      2008 Noviembre;101,749
      2008 Octubre;101,661
      2008 Septiembre;100,077
      2008 Agosto;103,069
      2008 Julio;117,064
      2008 Junio;90,571
      2008 Mayo;102,629
      2008 Abril;102,013
      2008 Marzo;105,534
      2008 Febrero;103,861
      2008 Enero;103,245
      2007 Diciembre;96,468
      2007 Noviembre;90,747
      2007 Octubre;93,299
      2007 Septiembre;88,370
      2007 Agosto;90,835
      2007 Julio;89,250
      2007 Junio;91,363
      2007 Mayo;97,788
      2007 Abril;102,365
      2007 Marzo;82,473
      2007 Febrero;91,451
      2007 Enero;106,238
      2006 Diciembre;113,455
      2006 Noviembre;105,886
      2006 Octubre;108,262
      2006 Septiembre;94,531
      2006 Agosto;94,795
      2006 Julio;89,074
      2006 Junio;85,378
      2006 Mayo;85,466
      2006 Abril;78,864
      2006 Marzo;84,057
      2006 Febrero;72,879
      2006 Enero;67,070
      2005 Diciembre;89,602
      2005 Noviembre;85,113
      2005 Octubre;93,651
      2005 Septiembre;91,451
      2005 Agosto;89,690
      2005 Julio;89,866
      2005 Junio;83,617
      2005 Mayo;84,057
      2005 Abril;90,483
      2005 Marzo;87,314
      2005 Febrero;82,297
      2005 Enero;89,162
      2004 Diciembre;88,634
      2004 Noviembre;89,162
      2004 Octubre;86,346
      2004 Septiembre;82,121
      2004 Agosto;87,402
      2004 Julio;81,241
      2004 Junio;77,456
      2004 Mayo;79,040
      2004 Abril;83,441
      2004 Marzo;85,378
      2004 Febrero;79,128
      2004 Enero;93,299
      2003 Diciembre;96,468
      2003 Noviembre;79,304
      2003 Octubre;90,130
      2003 Septiembre;86,170
      2003 Agosto;88,546
      2003 Julio;100,517
      2003 Junio;69,798
      2003 Mayo;77,808
      2003 Abril;86,962
      2003 Marzo;92,683
      2003 Febrero;80,008
      2003 Enero;76,136
      2002 Diciembre;80,448
      2002 Noviembre;92,595
      2002 Octubre;94,795
      2002 Septiembre;85,113
      2002 Agosto;89,954
      2002 Julio;99,284
      2002 Junio;88,546
      2002 Mayo;83,617
      2002 Abril;77,104
      2002 Marzo;87,050
      2002 Febrero;70,767
      2002 Enero;82,385


