
      2018 Julio (p);102,763
      2018 Junio;100,436
      2018 Mayo;102,416
      2018 Abril;96,924
      2018 Marzo;99,702
      2018 Febrero;89,435
      2018 Enero;96,042
      2017 Diciembre;99,906
      2017 Noviembre;108,159
      2017 Octubre;105,452
      2017 Septiembre;93,971
      2017 Agosto;96,884
      2017 Julio;102,652
      2017 Junio;96,328
      2017 Mayo;95,444
      2017 Abril;91,036
      2017 Marzo;102,969
      2017 Febrero;89,223
      2017 Enero;98,825
      2016 Diciembre;98,435
      2016 Noviembre;100,354
      2016 Octubre;96,934
      2016 Septiembre;98,184
      2016 Agosto;100,275
      2016 Julio;100,409
      2016 Junio;97,348
      2016 Mayo;95,893
      2016 Abril;99,199
      2016 Marzo;102,307
      2016 Febrero;97,009
      2016 Enero;97,573
      2015 Diciembre;99,109
      2015 Noviembre;99,985
      2015 Octubre;102,465
      2015 Septiembre;102,765
      2015 Agosto;105,168
      2015 Julio;110,572
      2015 Junio;99,324
      2015 Mayo;101,351
      2015 Abril;89,941
      2015 Marzo;96,029
      2015 Febrero;92,781
      2015 Enero;100,510
      2014 Diciembre;99,540
      2014 Noviembre;102,034
      2014 Octubre;112,330
      2014 Septiembre;104,171
      2014 Agosto;98,220
      2014 Julio;105,413
      2014 Junio;100,397
      2014 Mayo;99,853
      2014 Abril;93,820
      2014 Marzo;93,341
      2014 Febrero;96,308
      2014 Enero;96,699
      2013 Diciembre;96,343
      2013 Noviembre;105,419
      2013 Octubre;107,438
      2013 Septiembre;101,015
      2013 Agosto;104,094
      2013 Julio;108,429
      2013 Junio;97,349
      2013 Mayo;99,112
      2013 Abril;99,523
      2013 Marzo;98,030
      2013 Febrero;91,498
      2013 Enero;98,940
      2012 Diciembre;95,300
      2012 Noviembre;104,452
      2012 Octubre;112,522
      2012 Septiembre;104,003
      2012 Agosto;110,550
      2012 Julio;110,625
      2012 Junio;106,716
      2012 Mayo;99,948
      2012 Abril;96,601
      2012 Marzo;108,081
      2012 Febrero;106,183
      2012 Enero;104,395
      2011 Diciembre;111,456
      2011 Noviembre;111,835
      2011 Octubre;108,283
      2011 Septiembre;110,186
      2011 Agosto;115,072
      2011 Julio;116,484
      2011 Junio;113,228
      2011 Mayo;109,376
      2011 Abril;103,712
      2011 Marzo;110,191
      2011 Febrero;98,478
      2011 Enero;101,631
      2010 Diciembre;109,093
      2010 Noviembre;110,639
      2010 Octubre;103,426
      2010 Septiembre;108,192
      2010 Agosto;112,700
      2010 Julio;120,685
      2010 Junio;111,283
      2010 Mayo;100,592
      2010 Abril;103,555
      2010 Marzo;110,510
      2010 Febrero;98,145
      2010 Enero;106,517
      2009 Diciembre;115,018
      2009 Noviembre;107,419
      2009 Octubre;110,768
      2009 Septiembre;106,904
      2009 Agosto;101,880
      2009 Julio;114,374
      2009 Junio;109,351
      2009 Mayo;109,093
      2009 Abril;106,646
      2009 Marzo;109,093
      2009 Febrero;107,805
      2009 Enero;102,911
      2008 Diciembre;116,306
      2008 Noviembre;119,140
      2008 Octubre;125,064
      2008 Septiembre;120,428
      2008 Agosto;112,056
      2008 Julio;138,975
      2008 Junio;114,374
      2008 Mayo;123,132
      2008 Abril;127,640
      2008 Marzo;120,943
      2008 Febrero;122,875
      2008 Enero;124,807
      2007 Diciembre;121,200
      2007 Noviembre;122,360
      2007 Octubre;128,542
      2007 Septiembre;114,760
      2007 Agosto;118,496
      2007 Julio;131,247
      2007 Junio;122,875
      2007 Mayo;132,277
      2007 Abril;127,769
      2007 Marzo;128,928
      2007 Febrero;120,814
      2007 Enero;136,399
      2006 Diciembre;137,816
      2006 Noviembre;143,225
      2006 Octubre;140,649
      2006 Septiembre;128,542
      2006 Agosto;122,875
      2006 Julio;129,315
      2006 Junio;131,118
      2006 Mayo;127,640
      2006 Abril;117,208
      2006 Marzo;130,216
      2006 Febrero;106,517
      2006 Enero;107,419
      2005 Diciembre;123,776
      2005 Noviembre;123,776
      2005 Octubre;125,193
      2005 Septiembre;130,216
      2005 Agosto;118,753
      2005 Julio;135,884
      2005 Junio;134,596
      2005 Mayo;126,481
      2005 Abril;141,422
      2005 Marzo;132,020
      2005 Febrero;125,064
      2005 Enero;128,284
      2004 Diciembre;125,837
      2004 Noviembre;133,179
      2004 Octubre;129,186
      2004 Septiembre;127,512
      2004 Agosto;116,950
      2004 Julio;133,179
      2004 Junio;131,247
      2004 Mayo;119,912
      2004 Abril;123,648
      2004 Marzo;132,792
      2004 Febrero;113,730
      2004 Enero;119,011
      2003 Diciembre;128,027
      2003 Noviembre;118,109
      2003 Octubre;136,656
      2003 Septiembre;119,526
      2003 Agosto;116,048
      2003 Julio;138,588
      2003 Junio;120,814
      2003 Mayo;120,170
      2003 Abril;130,732
      2003 Marzo;124,936
      2003 Febrero;118,109
      2003 Enero;120,170
      2002 Diciembre;111,412
      2002 Noviembre;125,837
      2002 Octubre;135,884
      2002 Septiembre;119,912
      2002 Agosto;118,238
      2002 Julio;134,338
      2002 Junio;122,102
      2002 Mayo;121,587
      2002 Abril;121,973
      2002 Marzo;123,648
      2002 Febrero;112,442
      2002 Enero;121,072

