
      2018 Agosto (p);104,104
      2018 Julio (p);104,092
      2018 Junio (p);104,148
      2018 Mayo;104,776
      2018 Abril;103,980
      2018 Marzo;103,784
      2018 Febrero;103,749
      2018 Enero;103,118
      2017 Diciembre;102,439
      2017 Noviembre;102,167
      2017 Octubre;101,957
      2017 Septiembre;102,228
      2017 Agosto;102,265
      2017 Julio;102,505
      2017 Junio;101,564
      2017 Mayo;101,012
      2017 Abril;101,499
      2017 Marzo;101,475
      2017 Febrero;101,185
      2017 Enero;100,769
      2016 Diciembre;100,385
      2016 Noviembre;100,066
      2016 Octubre;100,134
      2016 Septiembre;99,626
      2016 Agosto;99,854
      2016 Julio;99,678
      2016 Junio;99,827
      2016 Mayo;100,208
      2016 Abril;99,992
      2016 Marzo;99,840
      2016 Febrero;100,172
      2016 Enero;99,685
      2015 Diciembre;100,005
      2015 Noviembre;100,477
      2015 Octubre;100,451
      2015 Septiembre;100,270
      2015 Agosto;100,068
      2015 Julio;99,772
      2015 Junio;100,386
      2015 Mayo;100,273
      2015 Abril;99,439
      2015 Marzo;99,705
      2015 Febrero;99,474
      2015 Enero;99,680
      2014 Diciembre;99,178
      2014 Noviembre;98,782
      2014 Octubre;99,321
      2014 Septiembre;99,727
      2014 Agosto;98,982
      2014 Julio;98,810
      2014 Junio;99,629
      2014 Mayo;98,993
      2014 Abril;99,899
      2014 Marzo;99,268
      2014 Febrero;99,421
      2014 Enero;99,557
      2013 Diciembre;98,530
      2013 Noviembre;98,211
      2013 Octubre;98,091
      2013 Septiembre;98,094
      2013 Agosto;97,869
      2013 Julio;97,910
      2013 Junio;98,693
      2013 Mayo;98,597
      2013 Abril;98,685
      2013 Marzo;98,362
      2013 Febrero;99,273
      2013 Enero;98,634
      2012 Diciembre;98,201
      2012 Noviembre;98,315
      2012 Octubre;98,338
      2012 Septiembre;99,048
      2012 Agosto;99,033
      2012 Julio;99,371
      2012 Junio;98,365
      2012 Mayo;98,320
      2012 Abril;98,191
      2012 Marzo;98,068
      2012 Febrero;97,636
      2012 Enero;97,791
      2011 Diciembre;97,029
      2011 Noviembre;97,027
      2011 Octubre;97,060
      2011 Septiembre;97,071
      2011 Agosto;97,168
      2011 Julio;96,510
      2011 Junio;96,426
      2011 Mayo;95,649
      2011 Abril;95,464
      2011 Marzo;95,647
      2011 Febrero;95,539
      2011 Enero;94,654
      2010 Diciembre;93,511
      2010 Noviembre;93,667
      2010 Octubre;93,567
      2010 Septiembre;93,549
      2010 Agosto;93,662
      2010 Julio;93,540
      2010 Junio;93,786
      2010 Mayo;93,025
      2010 Abril;92,723
      2010 Marzo;92,736
      2010 Febrero;92,945
      2010 Enero;91,744
      2009 Diciembre;92,057
      2009 Noviembre;92,057
      2009 Octubre;91,901
      2009 Septiembre;91,822
      2009 Agosto;91,901
      2009 Julio;91,665
      2009 Junio;91,744
      2009 Mayo;91,587
      2009 Abril;91,822
      2009 Marzo;91,744
      2009 Febrero;91,587
      2009 Enero;91,352
      2008 Diciembre;89,705
      2008 Noviembre;89,940
      2008 Octubre;90,097
      2008 Septiembre;89,940
      2008 Agosto;90,176
      2008 Julio;89,548
      2008 Junio;89,862
      2008 Mayo;89,470
      2008 Abril;89,235
      2008 Marzo;88,843
      2008 Febrero;88,764
      2008 Enero;88,529
      2007 Diciembre;88,372
      2007 Noviembre;87,509
      2007 Octubre;86,255
      2007 Septiembre;85,000
      2007 Agosto;84,765
      2007 Julio;84,843
      2007 Junio;84,687
      2007 Mayo;84,451
      2007 Abril;84,687
      2007 Marzo;84,608
      2007 Febrero;84,608
      2007 Enero;86,490
      2006 Diciembre;83,902
      2006 Noviembre;83,589
      2006 Octubre;83,197
      2006 Septiembre;82,962
      2006 Agosto;82,805
      2006 Julio;82,648
      2006 Junio;82,491
      2006 Mayo;82,256
      2006 Abril;82,021
      2006 Marzo;81,864
      2006 Febrero;81,393
      2006 Enero;80,688
      2005 Diciembre;78,649
      2005 Noviembre;78,570
      2005 Octubre;78,414
      2005 Septiembre;78,414
      2005 Agosto;78,492
      2005 Julio;78,492
      2005 Junio;78,492
      2005 Mayo;78,414
      2005 Abril;78,414
      2005 Marzo;78,335
      2005 Febrero;78,257
      2005 Enero;77,865
      2004 Diciembre;77,237
      2004 Noviembre;77,237
      2004 Octubre;77,237
      2004 Septiembre;77,316
      2004 Agosto;77,237
      2004 Julio;77,237
      2004 Junio;77,237
      2004 Mayo;77,237
      2004 Abril;77,316
      2004 Marzo;77,237
      2004 Febrero;77,237
      2004 Enero;76,845
      2003 Diciembre;76,532
      2003 Noviembre;76,532
      2003 Octubre;76,453
      2003 Septiembre;76,453
      2003 Agosto;76,532
      2003 Julio;76,532
      2003 Junio;76,296
      2003 Mayo;76,296
      2003 Abril;76,296
      2003 Marzo;76,296
      2003 Febrero;76,296
      2003 Enero;75,747
      2002 Diciembre;72,925
      2002 Noviembre;73,003
      2002 Octubre;73,003
      2002 Septiembre;73,003
      2002 Agosto;72,925
      2002 Julio;73,003
      2002 Junio;72,925
      2002 Mayo;73,003
      2002 Abril;72,925
      2002 Marzo;72,297
      2002 Febrero;72,376
      2002 Enero;72,062

