
      2018 Agosto (p);112,646
      2018 Julio (p);112,619
      2018 Junio (p);112,616
      2018 Mayo;112,610
      2018 Abril;112,608
      2018 Marzo;112,599
      2018 Febrero;112,332
      2018 Enero;103,071
      2017 Diciembre;103,069
      2017 Noviembre;103,065
      2017 Octubre;103,065
      2017 Septiembre;103,074
      2017 Agosto;103,056
      2017 Julio;103,052
      2017 Junio;103,048
      2017 Mayo;103,132
      2017 Abril;103,131
      2017 Marzo;102,103
      2017 Febrero;102,092
      2017 Enero;102,040
      2016 Diciembre;102,018
      2016 Noviembre;101,834
      2016 Octubre;102,744
      2016 Septiembre;102,736
      2016 Agosto;102,737
      2016 Julio;102,732
      2016 Junio;101,811
      2016 Mayo;101,804
      2016 Abril;100,169
      2016 Marzo;100,162
      2016 Febrero;100,083
      2016 Enero;100,087
      2015 Diciembre;100,159
      2015 Noviembre;100,159
      2015 Octubre;100,152
      2015 Septiembre;100,151
      2015 Agosto;100,143
      2015 Julio;99,991
      2015 Junio;99,991
      2015 Mayo;99,914
      2015 Abril;99,817
      2015 Marzo;99,842
      2015 Febrero;99,828
      2015 Enero;99,853
      2014 Diciembre;99,790
      2014 Noviembre;99,730
      2014 Octubre;99,838
      2014 Septiembre;99,853
      2014 Agosto;99,688
      2014 Julio;99,793
      2014 Junio;99,776
      2014 Mayo;99,812
      2014 Abril;99,615
      2014 Marzo;99,573
      2014 Febrero;99,760
      2014 Enero;99,107
      2013 Diciembre;99,203
      2013 Noviembre;99,203
      2013 Octubre;99,188
      2013 Septiembre;99,188
      2013 Agosto;99,188
      2013 Julio;99,188
      2013 Junio;99,189
      2013 Mayo;99,189
      2013 Abril;99,132
      2013 Marzo;99,141
      2013 Febrero;99,098
      2013 Enero;99,047
      2012 Diciembre;99,334
      2012 Noviembre;99,121
      2012 Octubre;99,145
      2012 Septiembre;99,145
      2012 Agosto;99,157
      2012 Julio;99,128
      2012 Junio;99,047
      2012 Mayo;98,995
      2012 Abril;98,995
      2012 Marzo;99,077
      2012 Febrero;99,096
      2012 Enero;99,096
      2011 Diciembre;99,060
      2011 Noviembre;98,970
      2011 Octubre;98,970
      2011 Septiembre;98,970
      2011 Agosto;98,969
      2011 Julio;98,970
      2011 Junio;98,970
      2011 Mayo;98,162
      2011 Abril;98,223
      2011 Marzo;98,223
      2011 Febrero;98,223
      2011 Enero;98,223
      2010 Diciembre;98,223
      2010 Noviembre;98,223
      2010 Octubre;98,216
      2010 Septiembre;98,224
      2010 Agosto;98,224
      2010 Julio;98,224
      2010 Junio;98,224
      2010 Mayo;102,337
      2010 Abril;102,337
      2010 Marzo;102,182
      2010 Febrero;102,278
      2010 Enero;102,278
      2009 Diciembre;..
      2009 Noviembre;..
      2009 Octubre;..
      2009 Septiembre;..
      2009 Agosto;..
      2009 Julio;..
      2009 Junio;..
      2009 Mayo;..
      2009 Abril;..
      2009 Marzo;..
      2009 Febrero;..
      2009 Enero;..
      2008 Diciembre;..
      2008 Noviembre;..
      2008 Octubre;..
      2008 Septiembre;..
      2008 Agosto;..
      2008 Julio;..
      2008 Junio;..
      2008 Mayo;..
      2008 Abril;..
      2008 Marzo;..
      2008 Febrero;..
      2008 Enero;..
      2007 Diciembre;..
      2007 Noviembre;..
      2007 Octubre;..
      2007 Septiembre;..
      2007 Agosto;..
      2007 Julio;..
      2007 Junio;..
      2007 Mayo;..
      2007 Abril;..
      2007 Marzo;..
      2007 Febrero;..
      2007 Enero;..
      2006 Diciembre;..
      2006 Noviembre;..
      2006 Octubre;..
      2006 Septiembre;..
      2006 Agosto;..
      2006 Julio;..
      2006 Junio;..
      2006 Mayo;..
      2006 Abril;..
      2006 Marzo;..
      2006 Febrero;..
      2006 Enero;..
      2005 Diciembre;..
      2005 Noviembre;..
      2005 Octubre;..
      2005 Septiembre;..
      2005 Agosto;..
      2005 Julio;..
      2005 Junio;..
      2005 Mayo;..
      2005 Abril;..
      2005 Marzo;..
      2005 Febrero;..
      2005 Enero;..
      2004 Diciembre;..
      2004 Noviembre;..
      2004 Octubre;..
      2004 Septiembre;..
      2004 Agosto;..
      2004 Julio;..
      2004 Junio;..
      2004 Mayo;..
      2004 Abril;..
      2004 Marzo;..
      2004 Febrero;..
      2004 Enero;..
      2003 Diciembre;..
      2003 Noviembre;..
      2003 Octubre;..
      2003 Septiembre;..
      2003 Agosto;..
      2003 Julio;..
      2003 Junio;..
      2003 Mayo;..
      2003 Abril;..
      2003 Marzo;..
      2003 Febrero;..
      2003 Enero;..
      2002 Diciembre;..
      2002 Noviembre;..
      2002 Octubre;..
      2002 Septiembre;..
      2002 Agosto;..
      2002 Julio;..
      2002 Junio;..
      2002 Mayo;..
      2002 Abril;..
      2002 Marzo;..
      2002 Febrero;..
      2002 Enero;..


