
      2018 Agosto (p);104,017
      2018 Julio (p);104,005
      2018 Junio (p);104,061
      2018 Mayo;104,695
      2018 Abril;103,891
      2018 Marzo;103,693
      2018 Febrero;103,661
      2018 Enero;103,113
      2017 Diciembre;102,429
      2017 Noviembre;102,152
      2017 Octubre;101,938
      2017 Septiembre;102,214
      2017 Agosto;102,252
      2017 Julio;102,496
      2017 Junio;101,539
      2017 Mayo;100,976
      2017 Abril;101,471
      2017 Marzo;101,464
      2017 Febrero;101,170
      2017 Enero;100,747
      2016 Diciembre;100,357
      2016 Noviembre;100,037
      2016 Octubre;100,090
      2016 Septiembre;99,574
      2016 Agosto;99,806
      2016 Julio;99,627
      2016 Junio;99,794
      2016 Mayo;100,182
      2016 Abril;99,989
      2016 Marzo;99,835
      2016 Febrero;100,174
      2016 Enero;99,678
      2015 Diciembre;100,003
      2015 Noviembre;100,482
      2015 Octubre;100,456
      2015 Septiembre;100,272
      2015 Agosto;100,067
      2015 Julio;99,768
      2015 Junio;100,392
      2015 Mayo;100,279
      2015 Abril;99,433
      2015 Marzo;99,702
      2015 Febrero;99,468
      2015 Enero;99,677
      2014 Diciembre;99,168
      2014 Noviembre;98,766
      2014 Octubre;99,312
      2014 Septiembre;99,725
      2014 Agosto;98,970
      2014 Julio;98,793
      2014 Junio;99,626
      2014 Mayo;98,980
      2014 Abril;99,904
      2014 Marzo;99,263
      2014 Febrero;99,415
      2014 Enero;99,565
      2013 Diciembre;98,519
      2013 Noviembre;98,195
      2013 Octubre;98,073
      2013 Septiembre;98,077
      2013 Agosto;97,848
      2013 Julio;97,890
      2013 Junio;98,684
      2013 Mayo;98,587
      2013 Abril;98,677
      2013 Marzo;98,349
      2013 Febrero;99,274
      2013 Enero;98,627
      2012 Diciembre;98,183
      2012 Noviembre;98,301
      2012 Octubre;98,324
      2012 Septiembre;99,042
      2012 Agosto;99,026
      2012 Julio;99,369
      2012 Junio;98,352
      2012 Mayo;98,308
      2012 Abril;98,177
      2012 Marzo;98,051
      2012 Febrero;97,614
      2012 Enero;97,771
      2011 Diciembre;97,000
      2011 Noviembre;97,000
      2011 Octubre;97,033
      2011 Septiembre;97,044
      2011 Agosto;97,142
      2011 Julio;96,477
      2011 Junio;96,391
      2011 Mayo;95,615
      2011 Abril;95,427
      2011 Marzo;95,612
      2011 Febrero;95,503
      2011 Enero;94,607
      2010 Diciembre;93,452
      2010 Noviembre;93,609
      2010 Octubre;93,509
      2010 Septiembre;93,490
      2010 Agosto;93,604
      2010 Julio;93,480
      2010 Junio;93,729
      2010 Mayo;92,915
      2010 Abril;92,610
      2010 Marzo;92,624
      2010 Febrero;92,834
      2010 Enero;91,620
      2009 Diciembre;91,934
      2009 Noviembre;91,934
      2009 Octubre;91,777
      2009 Septiembre;91,699
      2009 Agosto;91,777
      2009 Julio;91,542
      2009 Junio;91,620
      2009 Mayo;91,464
      2009 Abril;91,699
      2009 Marzo;91,620
      2009 Febrero;91,464
      2009 Enero;91,229
      2008 Diciembre;89,584
      2008 Noviembre;89,819
      2008 Octubre;89,976
      2008 Septiembre;89,819
      2008 Agosto;90,054
      2008 Julio;89,428
      2008 Junio;89,741
      2008 Mayo;89,349
      2008 Abril;89,114
      2008 Marzo;88,723
      2008 Febrero;88,645
      2008 Enero;88,410
      2007 Diciembre;88,253
      2007 Noviembre;87,392
      2007 Octubre;86,139
      2007 Septiembre;84,886
      2007 Agosto;84,651
      2007 Julio;84,729
      2007 Junio;84,573
      2007 Mayo;84,338
      2007 Abril;84,573
      2007 Marzo;84,494
      2007 Febrero;84,494
      2007 Enero;86,374
      2006 Diciembre;83,790
      2006 Noviembre;83,476
      2006 Octubre;83,085
      2006 Septiembre;82,850
      2006 Agosto;82,693
      2006 Julio;82,537
      2006 Junio;82,380
      2006 Mayo;82,145
      2006 Abril;81,910
      2006 Marzo;81,754
      2006 Febrero;81,284
      2006 Enero;80,579
      2005 Diciembre;78,543
      2005 Noviembre;78,465
      2005 Octubre;78,308
      2005 Septiembre;78,308
      2005 Agosto;78,386
      2005 Julio;78,386
      2005 Junio;78,386
      2005 Mayo;78,308
      2005 Abril;78,308
      2005 Marzo;78,230
      2005 Febrero;78,151
      2005 Enero;77,760
      2004 Diciembre;77,133
      2004 Noviembre;77,133
      2004 Octubre;77,133
      2004 Septiembre;77,212
      2004 Agosto;77,133
      2004 Julio;77,133
      2004 Junio;77,133
      2004 Mayo;77,133
      2004 Abril;77,212
      2004 Marzo;77,133
      2004 Febrero;77,133
      2004 Enero;76,742
      2003 Diciembre;76,429
      2003 Noviembre;76,429
      2003 Octubre;76,350
      2003 Septiembre;76,350
      2003 Agosto;76,429
      2003 Julio;76,429
      2003 Junio;76,194
      2003 Mayo;76,194
      2003 Abril;76,194
      2003 Marzo;76,194
      2003 Febrero;76,194
      2003 Enero;75,646
      2002 Diciembre;72,826
      2002 Noviembre;72,905
      2002 Octubre;72,905
      2002 Septiembre;72,905
      2002 Agosto;72,826
      2002 Julio;72,905
      2002 Junio;72,826
      2002 Mayo;72,905
      2002 Abril;72,826
      2002 Marzo;72,200
      2002 Febrero;72,278
      2002 Enero;71,965

