
      2018 Agosto (p);101,342
      2018 Julio (p);101,055
      2018 Junio (p);101,062
      2018 Mayo;101,085
      2018 Abril;101,054
      2018 Marzo;101,151
      2018 Febrero;101,003
      2018 Enero;100,841
      2017 Diciembre;100,726
      2017 Noviembre;100,687
      2017 Octubre;100,727
      2017 Septiembre;100,671
      2017 Agosto;100,701
      2017 Julio;100,716
      2017 Junio;100,842
      2017 Mayo;101,009
      2017 Abril;100,960
      2017 Marzo;101,054
      2017 Febrero;101,703
      2017 Enero;100,768
      2016 Diciembre;100,796
      2016 Noviembre;100,857
      2016 Octubre;100,883
      2016 Septiembre;100,566
      2016 Agosto;100,724
      2016 Julio;100,502
      2016 Junio;100,440
      2016 Mayo;100,393
      2016 Abril;100,389
      2016 Marzo;100,281
      2016 Febrero;100,198
      2016 Enero;100,337
      2015 Diciembre;100,313
      2015 Noviembre;100,368
      2015 Octubre;100,321
      2015 Septiembre;100,317
      2015 Agosto;99,589
      2015 Julio;99,708
      2015 Junio;99,689
      2015 Mayo;99,717
      2015 Abril;99,626
      2015 Marzo;99,500
      2015 Febrero;100,578
      2015 Enero;100,274
      2014 Diciembre;100,300
      2014 Noviembre;100,222
      2014 Octubre;100,173
      2014 Septiembre;100,321
      2014 Agosto;99,482
      2014 Julio;99,512
      2014 Junio;99,387
      2014 Mayo;99,286
      2014 Abril;99,443
      2014 Marzo;99,386
      2014 Febrero;99,333
      2014 Enero;100,840
      2013 Diciembre;101,220
      2013 Noviembre;101,557
      2013 Octubre;101,399
      2013 Septiembre;101,428
      2013 Agosto;101,293
      2013 Julio;101,301
      2013 Junio;101,177
      2013 Mayo;101,382
      2013 Abril;101,350
      2013 Marzo;101,542
      2013 Febrero;101,695
      2013 Enero;102,336
      2012 Diciembre;100,120
      2012 Noviembre;101,867
      2012 Octubre;101,895
      2012 Septiembre;102,170
      2012 Agosto;101,671
      2012 Julio;101,669
      2012 Junio;101,902
      2012 Mayo;101,890
      2012 Abril;101,890
      2012 Marzo;101,890
      2012 Febrero;102,359
      2012 Enero;101,160
      2011 Diciembre;102,422
      2011 Noviembre;102,422
      2011 Octubre;101,452
      2011 Septiembre;101,452
      2011 Agosto;101,452
      2011 Julio;101,452
      2011 Junio;101,452
      2011 Mayo;101,452
      2011 Abril;104,179
      2011 Marzo;104,179
      2011 Febrero;104,179
      2011 Enero;104,813
      2010 Diciembre;102,565
      2010 Noviembre;102,562
      2010 Octubre;102,565
      2010 Septiembre;102,563
      2010 Agosto;102,563
      2010 Julio;102,563
      2010 Junio;102,563
      2010 Mayo;103,104
      2010 Abril;103,104
      2010 Marzo;103,104
      2010 Febrero;103,105
      2010 Enero;101,297
      2009 Diciembre;100,434
      2009 Noviembre;100,434
      2009 Octubre;100,434
      2009 Septiembre;100,434
      2009 Agosto;99,963
      2009 Julio;100,041
      2009 Junio;104,278
      2009 Mayo;104,278
      2009 Abril;102,317
      2009 Marzo;101,218
      2009 Febrero;101,218
      2009 Enero;101,297
      2008 Diciembre;97,452
      2008 Noviembre;95,569
      2008 Octubre;95,491
      2008 Septiembre;95,491
      2008 Agosto;95,491
      2008 Julio;94,706
      2008 Junio;96,118
      2008 Mayo;94,078
      2008 Abril;94,078
      2008 Marzo;91,646
      2008 Febrero;92,117
      2008 Enero;91,489
      2007 Diciembre;90,469
      2007 Noviembre;90,469
      2007 Octubre;90,469
      2007 Septiembre;90,469
      2007 Agosto;90,469
      2007 Julio;90,469
      2007 Junio;90,312
      2007 Mayo;90,312
      2007 Abril;90,312
      2007 Marzo;90,312
      2007 Febrero;90,312
      2007 Enero;80,504
      2006 Diciembre;76,345
      2006 Noviembre;76,267
      2006 Octubre;76,267
      2006 Septiembre;76,267
      2006 Agosto;76,267
      2006 Julio;76,267
      2006 Junio;76,267
      2006 Mayo;76,267
      2006 Abril;76,659
      2006 Marzo;76,267
      2006 Febrero;76,267
      2006 Enero;78,935
      2005 Diciembre;78,856
      2005 Noviembre;78,856
      2005 Octubre;78,856
      2005 Septiembre;78,856
      2005 Agosto;78,856
      2005 Julio;78,856
      2005 Junio;78,778
      2005 Mayo;78,385
      2005 Abril;78,307
      2005 Marzo;78,307
      2005 Febrero;77,444
      2005 Enero;77,365
      2004 Diciembre;76,345
      2004 Noviembre;76,345
      2004 Octubre;76,345
      2004 Septiembre;76,345
      2004 Agosto;76,345
      2004 Julio;76,345
      2004 Junio;76,345
      2004 Mayo;76,345
      2004 Abril;76,345
      2004 Marzo;76,345
      2004 Febrero;75,011
      2004 Enero;75,011
      2003 Diciembre;73,285
      2003 Noviembre;73,285
      2003 Octubre;73,285
      2003 Septiembre;73,285
      2003 Agosto;73,285
      2003 Julio;73,285
      2003 Junio;72,971
      2003 Mayo;72,971
      2003 Abril;72,971
      2003 Marzo;72,971
      2003 Febrero;72,344
      2003 Enero;72,422
      2002 Diciembre;70,696
      2002 Noviembre;70,696
      2002 Octubre;70,696
      2002 Septiembre;70,696
      2002 Agosto;70,696
      2002 Julio;70,696
      2002 Junio;69,284
      2002 Mayo;69,284
      2002 Abril;69,284
      2002 Marzo;69,284
      2002 Febrero;69,833
      2002 Enero;69,833

