
      2018 Agosto (p);103,743
      2018 Julio (p);103,776
      2018 Junio (p);103,306
      2018 Mayo;102,762
      2018 Abril;102,946
      2018 Marzo;102,231
      2018 Febrero;101,108
      2018 Enero;99,937
      2017 Diciembre;99,892
      2017 Noviembre;99,920
      2017 Octubre;99,501
      2017 Septiembre;99,099
      2017 Agosto;99,118
      2017 Julio;99,762
      2017 Junio;99,597
      2017 Mayo;99,325
      2017 Abril;100,005
      2017 Marzo;99,601
      2017 Febrero;99,863
      2017 Enero;99,506
      2016 Diciembre;99,421
      2016 Noviembre;99,445
      2016 Octubre;100,052
      2016 Septiembre;100,148
      2016 Agosto;100,482
      2016 Julio;99,970
      2016 Junio;99,977
      2016 Mayo;100,788
      2016 Abril;100,060
      2016 Marzo;100,109
      2016 Febrero;99,930
      2016 Enero;100,077
      2015 Diciembre;98,977
      2015 Noviembre;99,438
      2015 Octubre;99,573
      2015 Septiembre;99,239
      2015 Agosto;99,974
      2015 Julio;99,781
      2015 Junio;100,141
      2015 Mayo;100,726
      2015 Abril;100,822
      2015 Marzo;100,302
      2015 Febrero;100,606
      2015 Enero;100,422
      2014 Diciembre;100,152
      2014 Noviembre;100,498
      2014 Octubre;101,520
      2014 Septiembre;101,845
      2014 Agosto;101,220
      2014 Julio;101,379
      2014 Junio;101,520
      2014 Mayo;100,477
      2014 Abril;100,498
      2014 Marzo;100,537
      2014 Febrero;100,798
      2014 Enero;101,594
      2013 Diciembre;100,260
      2013 Noviembre;99,468
      2013 Octubre;98,549
      2013 Septiembre;99,031
      2013 Agosto;99,615
      2013 Julio;99,736
      2013 Junio;99,349
      2013 Mayo;99,473
      2013 Abril;99,280
      2013 Marzo;98,904
      2013 Febrero;98,474
      2013 Enero;98,496
      2012 Diciembre;98,023
      2012 Noviembre;98,205
      2012 Octubre;98,211
      2012 Septiembre;97,394
      2012 Agosto;96,782
      2012 Julio;96,165
      2012 Junio;95,507
      2012 Mayo;95,031
      2012 Abril;96,234
      2012 Marzo;95,294
      2012 Febrero;94,906
      2012 Enero;94,826
      2011 Diciembre;94,234
      2011 Noviembre;94,335
      2011 Octubre;95,349
      2011 Septiembre;94,783
      2011 Agosto;94,561
      2011 Julio;94,713
      2011 Junio;94,441
      2011 Mayo;94,627
      2011 Abril;94,108
      2011 Marzo;94,654
      2011 Febrero;93,825
      2011 Enero;93,322
      2010 Diciembre;92,841
      2010 Noviembre;91,552
      2010 Octubre;91,325
      2010 Septiembre;90,891
      2010 Agosto;89,157
      2010 Julio;88,202
      2010 Junio;88,220
      2010 Mayo;88,428
      2010 Abril;88,430
      2010 Marzo;88,432
      2010 Febrero;87,932
      2010 Enero;87,654
      2009 Diciembre;86,928
      2009 Noviembre;86,638
      2009 Octubre;87,436
      2009 Septiembre;87,581
      2009 Agosto;87,726
      2009 Julio;87,944
      2009 Junio;88,162
      2009 Mayo;88,307
      2009 Abril;88,307
      2009 Marzo;87,944
      2009 Febrero;88,017
      2009 Enero;88,742
      2008 Diciembre;88,234
      2008 Noviembre;88,162
      2008 Octubre;88,742
      2008 Septiembre;88,379
      2008 Agosto;88,452
      2008 Julio;88,017
      2008 Junio;87,363
      2008 Mayo;88,162
      2008 Abril;87,581
      2008 Marzo;87,871
      2008 Febrero;87,726
      2008 Enero;86,420
      2007 Diciembre;83,518
      2007 Noviembre;83,155
      2007 Octubre;83,010
      2007 Septiembre;82,792
      2007 Agosto;83,010
      2007 Julio;82,647
      2007 Junio;82,429
      2007 Mayo;81,921
      2007 Abril;82,429
      2007 Marzo;82,574
      2007 Febrero;82,502
      2007 Enero;80,543
      2006 Diciembre;77,568
      2006 Noviembre;77,495
      2006 Octubre;76,842
      2006 Septiembre;76,334
      2006 Agosto;76,262
      2006 Julio;75,826
      2006 Junio;75,536
      2006 Mayo;75,681
      2006 Abril;75,609
      2006 Marzo;75,246
      2006 Febrero;75,101
      2006 Enero;74,593
      2005 Diciembre;72,851
      2005 Noviembre;72,779
      2005 Octubre;72,706
      2005 Septiembre;72,488
      2005 Agosto;72,706
      2005 Julio;72,561
      2005 Junio;72,561
      2005 Mayo;72,634
      2005 Abril;72,561
      2005 Marzo;72,416
      2005 Febrero;72,343
      2005 Enero;71,981
      2004 Diciembre;71,327
      2004 Noviembre;71,110
      2004 Octubre;70,747
      2004 Septiembre;70,094
      2004 Agosto;70,094
      2004 Julio;70,094
      2004 Junio;70,166
      2004 Mayo;70,239
      2004 Abril;70,239
      2004 Marzo;70,094
      2004 Febrero;69,731
      2004 Enero;69,731
      2003 Diciembre;69,441
      2003 Noviembre;69,441
      2003 Octubre;69,876
      2003 Septiembre;69,949
      2003 Agosto;69,876
      2003 Julio;69,949
      2003 Junio;69,949
      2003 Mayo;69,876
      2003 Abril;70,021
      2003 Marzo;70,094
      2003 Febrero;70,166
      2003 Enero;70,166
      2002 Diciembre;69,804
      2002 Noviembre;69,804
      2002 Octubre;69,731
      2002 Septiembre;69,223
      2002 Agosto;69,296
      2002 Julio;69,151
      2002 Junio;69,151
      2002 Mayo;69,223
      2002 Abril;69,006
      2002 Marzo;68,788
      2002 Febrero;69,078
      2002 Enero;69,368

