
      2018 Agosto (p);109,718
      2018 Julio (p);108,383
      2018 Junio (p);106,644
      2018 Mayo;104,935
      2018 Abril;100,770
      2018 Marzo;100,316
      2018 Febrero;105,122
      2018 Enero;103,326
      2017 Diciembre;106,269
      2017 Noviembre;105,874
      2017 Octubre;103,274
      2017 Septiembre;99,085
      2017 Agosto;97,152
      2017 Julio;97,104
      2017 Junio;97,284
      2017 Mayo;97,957
      2017 Abril;98,804
      2017 Marzo;97,928
      2017 Febrero;103,358
      2017 Enero;111,288
      2016 Diciembre;105,200
      2016 Noviembre;98,732
      2016 Octubre;99,967
      2016 Septiembre;93,885
      2016 Agosto;91,884
      2016 Julio;92,696
      2016 Junio;93,410
      2016 Mayo;86,178
      2016 Abril;82,515
      2016 Marzo;82,379
      2016 Febrero;80,531
      2016 Enero;84,132
      2015 Diciembre;93,925
      2015 Noviembre;96,526
      2015 Octubre;96,236
      2015 Septiembre;96,921
      2015 Agosto;98,763
      2015 Julio;106,371
      2015 Junio;105,949
      2015 Mayo;103,757
      2015 Abril;101,825
      2015 Marzo;101,063
      2015 Febrero;99,976
      2015 Enero;98,689
      2014 Diciembre;100,337
      2014 Noviembre;105,451
      2014 Octubre;111,301
      2014 Septiembre;113,735
      2014 Agosto;109,964
      2014 Julio;110,512
      2014 Junio;112,305
      2014 Mayo;108,592
      2014 Abril;103,943
      2014 Marzo;103,512
      2014 Febrero;102,030
      2014 Enero;108,053
      2013 Diciembre;117,312
      2013 Noviembre;105,630
      2013 Octubre;109,999
      2013 Septiembre;109,508
      2013 Agosto;107,616
      2013 Julio;109,658
      2013 Junio;104,794
      2013 Mayo;105,292
      2013 Abril;95,332
      2013 Marzo;101,356
      2013 Febrero;110,808
      2013 Enero;112,293
      2012 Diciembre;107,098
      2012 Noviembre;108,696
      2012 Octubre;110,561
      2012 Septiembre;112,137
      2012 Agosto;111,261
      2012 Julio;107,213
      2012 Junio;105,812
      2012 Mayo;109,298
      2012 Abril;111,529
      2012 Marzo;111,926
      2012 Febrero;109,343
      2012 Enero;107,667
      2011 Diciembre;104,781
      2011 Noviembre;104,752
      2011 Octubre;103,282
      2011 Septiembre;103,060
      2011 Agosto;102,486
      2011 Julio;102,981
      2011 Junio;102,298
      2011 Mayo;102,731
      2011 Abril;104,317
      2011 Marzo;102,473
      2011 Febrero;99,486
      2011 Enero;97,718
      2010 Diciembre;94,935
      2010 Noviembre;91,624
      2010 Octubre;90,053
      2010 Septiembre;90,229
      2010 Agosto;90,151
      2010 Julio;90,307
      2010 Junio;91,208
      2010 Mayo;91,660
      2010 Abril;90,293
      2010 Marzo;87,690
      2010 Febrero;85,633
      2010 Enero;84,570
      2009 Diciembre;83,603
      2009 Noviembre;83,396
      2009 Octubre;82,706
      2009 Septiembre;82,844
      2009 Agosto;83,465
      2009 Julio;83,120
      2009 Junio;82,637
      2009 Mayo;80,980
      2009 Abril;80,289
      2009 Marzo;79,530
      2009 Febrero;79,944
      2009 Enero;79,461
      2008 Diciembre;78,494
      2008 Noviembre;81,325
      2008 Octubre;85,812
      2008 Septiembre;87,883
      2008 Agosto;89,747
      2008 Julio;91,197
      2008 Junio;88,159
      2008 Mayo;86,019
      2008 Abril;83,396
      2008 Marzo;82,360
      2008 Febrero;81,049
      2008 Enero;80,773
      2007 Diciembre;79,737
      2007 Noviembre;79,116
      2007 Octubre;77,045
      2007 Septiembre;76,285
      2007 Agosto;76,078
      2007 Julio;76,216
      2007 Junio;75,595
      2007 Mayo;75,250
      2007 Abril;75,043
      2007 Marzo;74,421
      2007 Febrero;73,938
      2007 Enero;73,731
      2006 Diciembre;72,143
      2006 Noviembre;72,281
      2006 Octubre;72,557
      2006 Septiembre;73,731
      2006 Agosto;75,319
      2006 Julio;74,974
      2006 Junio;74,283
      2006 Mayo;74,352
      2006 Abril;73,869
      2006 Marzo;73,248
      2006 Febrero;73,110
      2006 Enero;72,350
      2005 Diciembre;70,417
      2005 Noviembre;70,900
      2005 Octubre;71,936
      2005 Septiembre;71,660
      2005 Agosto;70,486
      2005 Julio;69,865
      2005 Junio;68,691
      2005 Mayo;68,001
      2005 Abril;68,139
      2005 Marzo;67,103
      2005 Febrero;65,861
      2005 Enero;65,377
      2004 Diciembre;65,239
      2004 Noviembre;65,654
      2004 Octubre;66,068
      2004 Septiembre;64,894
      2004 Agosto;64,480
      2004 Julio;63,928
      2004 Junio;63,721
      2004 Mayo;63,928
      2004 Abril;62,892
      2004 Marzo;62,409
      2004 Febrero;61,788
      2004 Enero;61,788
      2003 Diciembre;61,235
      2003 Noviembre;61,511
      2003 Octubre;61,373
      2003 Septiembre;61,373
      2003 Agosto;61,788
      2003 Julio;61,442
      2003 Junio;60,890
      2003 Mayo;60,821
      2003 Abril;61,995
      2003 Marzo;63,790
      2003 Febrero;63,513
      2003 Enero;62,754
      2002 Diciembre;60,821
      2002 Noviembre;60,614
      2002 Octubre;61,649
      2002 Septiembre;61,304
      2002 Agosto;60,476
      2002 Julio;60,269
      2002 Junio;60,407
      2002 Mayo;60,821
      2002 Abril;60,821
      2002 Marzo;59,786
      2002 Febrero;59,095
      2002 Enero;59,164

