;Indices de ProducciOn Industrial (IPI);Tasas de variación anual;Tasas de variación de la media en lo que va de año
 BIENES DE CONSUMO;;;
   Canarias;;;
      2018 Julio (p);102,601;-0,5;-1,5
      2018 Junio;100,934;-2,3;-1,7
      2018 Mayo;105,749;12,2;-1,5
      2018 Abril;100,065;10,9;-4,9
      2018 Marzo;98,420;-11,7;-9,6
      2018 Febrero;81,856;-9,4;-8,3
      2018 Enero;91,899;-7,4;-7,4
      2017 Diciembre;98,065;3,1;2,2
      2017 Noviembre;111,579;9,1;2,1
      2017 Octubre;110,006;19,4;1,4
      2017 Septiembre;99,116;0,7;-0,4
      2017 Agosto;97,701;-2,8;-0,6
      2017 Julio;103,073;3,3;-0,3
      2017 Junio;103,355;3,8;-0,9
      2017 Mayo;94,237;-4,6;-1,8
      2017 Abril;90,197;-11,5;-1,1
      2017 Marzo;111,463;9,9;2,5
      2017 Febrero;90,379;-7,1;-1,4
      2017 Enero;99,203;4,4;4,4
      2016 Diciembre;95,072;-7,2;-1,5
      2016 Noviembre;102,241;0,3;-1,0
      2016 Octubre;92,137;-11,2;-1,1
      2016 Septiembre;98,431;-2,4;0,1
      2016 Agosto;100,526;0,6;0,4
      2016 Julio;99,813;-11,4;0,4
      2016 Junio;99,548;-0,7;2,7
      2016 Mayo;98,778;3,9;3,4
      2016 Abril;101,871;12,2;3,2
      2016 Marzo;101,422;-1,6;0,5
      2016 Febrero;97,315;7,0;1,6
      2016 Enero;95,000;-3,4;-3,4
      2015 Diciembre;102,422;9,2;0,6
      2015 Noviembre;101,927;8,8;-0,1
      2015 Octubre;103,742;-8,2;-0,9
      2015 Septiembre;100,901;-0,1;0,0
      2015 Agosto;99,950;6,8;0,0
      2015 Julio;112,623;2,5;-0,9
      2015 Junio;100,239;-0,6;-1,5
      2015 Mayo;95,041;-1,8;-1,7
      2015 Abril;90,775;-9,0;-1,7
      2015 Marzo;103,114;11,1;0,8
      2015 Febrero;90,911;-3,3;-4,0
      2015 Enero;98,356;-4,7;-4,7
      2014 Diciembre;93,833;1,6;0,2
      2014 Noviembre;93,705;-8,9;0,1
      2014 Octubre;112,968;2,6;1,0
      2014 Septiembre;101,034;4,7;0,8
      2014 Agosto;93,544;-4,5;0,4
      2014 Julio;109,841;2,4;1,0
      2014 Junio;100,851;10,7;0,8
      2014 Mayo;96,781;-3,5;-1,0
      2014 Abril;99,787;-2,4;-0,4
      2014 Marzo;92,781;-5,9;0,3
      2014 Febrero;93,984;4,3;3,5
      2014 Enero;103,252;2,8;2,8
      2013 Diciembre;92,340;14,2;0,4
      2013 Noviembre;102,868;5,0;-0,6
      2013 Octubre;110,077;-1,0;-1,2
      2013 Septiembre;96,512;0,4;-1,2
      2013 Agosto;97,961;-6,8;-1,4
      2013 Julio;107,312;4,3;-0,5
      2013 Junio;91,076;-7,2;-1,4
      2013 Mayo;100,313;1,7;-0,2
      2013 Abril;102,202;14,0;-0,7
      2013 Marzo;98,580;-5,6;-5,0
      2013 Febrero;90,096;-6,7;-4,7
      2013 Enero;100,478;-2,9;-2,9
      2012 Diciembre;80,855;-20,8;-5,2
      2012 Noviembre;97,963;-12,0;-3,8
      2012 Octubre;111,196;3,5;-2,9
      2012 Septiembre;96,113;-10,3;-3,6
      2012 Agosto;105,084;-4,2;-2,8
      2012 Julio;102,898;-3,4;-2,5
      2012 Junio;98,125;-9,3;-2,4
      2012 Mayo;98,636;-4,5;-0,9
      2012 Abril;89,674;-9,6;0,0
      2012 Marzo;104,433;-3,6;3,3
      2012 Febrero;96,554;2,8;7,3
      2012 Enero;103,492;11,9;11,9
      2011 Diciembre;102,115;3,3;4,1
      2011 Noviembre;111,262;4,7;4,2
      2011 Octubre;107,440;17,3;4,1
      2011 Septiembre;107,163;14,3;2,8
      2011 Agosto;109,731;18,1;1,4
      2011 Julio;106,483;-5,4;-0,7
      2011 Junio;108,169;2,6;0,1
      2011 Mayo;103,234;4,8;-0,4
      2011 Abril;99,238;0,2;-1,7
      2011 Marzo;108,315;-4,6;-2,3
      2011 Febrero;93,928;-5,5;-0,8
      2011 Enero;92,494;4,5;4,5
      2010 Diciembre;98,847;2,5;-4,7
      2010 Noviembre;106,222;2,9;-5,3
      2010 Octubre;91,591;-7,9;-6,1
      2010 Septiembre;93,732;-8,8;-5,9
      2010 Agosto;92,900;1,0;-5,5
      2010 Julio;112,526;-2,7;-6,3
      2010 Junio;105,389;-1,8;-7,0
      2010 Mayo;98,490;-3,4;-8,0
      2010 Abril;99,085;-7,8;-9,1
      2010 Marzo;113,597;-5,9;-9,5
      2010 Febrero;99,442;-3,6;-11,5
      2010 Enero;88,498;-19,0;-19,0
      2009 Diciembre;96,468;-13,7;-7,1
      2009 Noviembre;103,248;-11,5;-6,5
      2009 Octubre;99,442;-23,2;-6,0
      2009 Septiembre;102,772;-17,6;-3,8
      2009 Agosto;91,948;-5,8;-1,8
      2009 Julio;115,619;-7,0;-1,3
      2009 Junio;107,292;-1,4;-0,2
      2009 Mayo;101,940;-5,8;0,0
      2009 Abril;107,411;-3,9;1,5
      2009 Marzo;120,734;17,6;3,3
      2009 Febrero;103,129;-2,0;-3,4
      2009 Enero;109,315;-4,6;-4,6
      2008 Diciembre;111,813;0,8;-3,9
      2008 Noviembre;116,689;-2,8;-4,2
      2008 Octubre;129,417;3,8;-4,4
      2008 Septiembre;124,778;19,9;-5,4
      2008 Agosto;97,658;-13,8;-8,1
      2008 Julio;124,302;-6,9;-7,4
      2008 Junio;108,839;-6,3;-7,5
      2008 Mayo;108,244;-12,0;-7,7
      2008 Abril;111,813;0,2;-6,6
      2008 Marzo;102,653;-19,8;-8,7
      2008 Febrero;105,270;-0,4;-2,4
      2008 Enero;114,548;-4,1;-4,1
      2007 Diciembre;110,980;-2,5;-1,1
      2007 Noviembre;120,020;-9,7;-1,0
      2007 Octubre;124,659;-1,5;0,0
      2007 Septiembre;104,081;-13,6;0,2
      2007 Agosto;113,240;-4,0;2,0
      2007 Julio;133,461;8,4;2,9
      2007 Junio;116,214;-11,1;1,9
      2007 Mayo;122,994;2,8;4,9
      2007 Abril;111,575;-2,4;5,5
      2007 Marzo;127,990;1,4;8,3
      2007 Febrero;105,746;13,5;12,6
      2007 Enero;119,425;11,8;11,8
      2006 Diciembre;113,835;0,3;-0,1
      2006 Noviembre;132,986;13,5;-0,1
      2006 Octubre;126,562;15,8;-1,5
      2006 Septiembre;120,496;-3,4;-3,2
      2006 Agosto;117,998;9,0;-3,2
      2006 Julio;123,113;-4,5;-4,7
      2006 Junio;130,726;4,4;-4,8
      2006 Mayo;119,663;10,7;-6,7
      2006 Abril;114,310;-23,7;-10,5
      2006 Marzo;126,205;1,6;-4,7
      2006 Febrero;93,137;-12,1;-8,3
      2006 Enero;106,817;-4,7;-4,7
      2005 Diciembre;113,478;-4,8;-2,3
      2005 Noviembre;117,165;-6,2;-2,1
      2005 Octubre;109,315;-7,0;-1,7
      2005 Septiembre;124,778;-1,8;-1,1
      2005 Agosto;108,244;-2,2;-1,1
      2005 Julio;128,941;-7,4;-0,9
      2005 Junio;125,254;-11,4;0,3
      2005 Mayo;108,125;-3,4;3,2
      2005 Abril;149,876;26,0;4,8
      2005 Marzo;124,183;-6,9;-2,4
      2005 Febrero;105,984;-0,1;0,3
      2005 Enero;112,050;0,7;0,7
      2004 Diciembre;119,187;14,6;6,7
      2004 Noviembre;124,897;11,6;6,0
      2004 Octubre;117,522;-8,9;5,5
      2004 Septiembre;127,038;16,8;7,3
      2004 Agosto;110,623;6,8;6,2
      2004 Julio;139,290;5,1;6,1
      2004 Junio;141,431;14,7;6,3
      2004 Mayo;111,931;-4,9;4,4
      2004 Abril;118,950;1,0;6,9
      2004 Marzo;133,342;17,5;9,0
      2004 Febrero;106,103;8,8;4,4
      2004 Enero;111,218;0,5;0,5
      2003 Diciembre;103,962;8,7;3,0
      2003 Noviembre;111,931;1,6;2,5
      2003 Octubre;129,060;7,2;2,6
      2003 Septiembre;108,720;4,6;2,1
      2003 Agosto;103,605;-1,2;1,8
      2003 Julio;132,510;9,8;2,2
      2003 Junio;123,351;13,1;0,8
      2003 Mayo;117,641;7,3;-1,5
      2003 Abril;117,760;-0,8;-3,6
      2003 Marzo;113,478;-4,3;-4,6
      2003 Febrero;97,539;-7,1;-4,8
      2003 Enero;110,623;-2,6;-2,6
      2002 Diciembre;95,635;..;..
      2002 Noviembre;110,147;..;..
      2002 Octubre;120,377;..;..
      2002 Septiembre;103,962;..;..
      2002 Agosto;104,913;..;..
      2002 Julio;120,734;..;..
      2002 Junio;109,077;..;..
      2002 Mayo;109,671;..;..
      2002 Abril;118,712;..;..
      2002 Marzo;118,593;..;..
      2002 Febrero;105,032;..;..
      2002 Enero;113,597;..;..
