"","Energía.eléctrica.disponible","Producción.bruta.de.energía.eléctrica","GASOLINA","Superficie.a.construir.m2.","Índice.general"
"2002-01-01",565.698,572.701,NA,434,121.072
"2002-02-01",520.844,511.077,NA,345,112.442
"2002-03-01",578.247,572.68,NA,304,123.648
"2002-04-01",549.146,533.724,NA,334,121.973
"2002-05-01",556.962,523.486,NA,238,121.587
"2002-06-01",548.822,516.473,NA,184,122.102
"2002-07-01",589.735,558.572,NA,486,134.338
"2002-08-01",605.251,569.279,NA,191,118.238
"2002-09-01",608.532,606.941,NA,296,119.912
"2002-10-01",642.734,633.996,NA,468,135.884
"2002-11-01",609.773,603.756,NA,561,125.837
"2002-12-01",606.25,627.737,NA,392,111.412
"2003-01-01",609.047,619.64,48315.8,223,120.17
"2003-02-01",562.315,551.342,44986.5,440,118.109
"2003-03-01",615.635,618.748,47674.2,504,124.936
"2003-04-01",592.066,588.952,50027.4,856,130.732
"2003-05-01",604.655,589.189,49600.2,322,120.17
"2003-06-01",616.456,586.892,47340.9,246,120.814
"2003-07-01",656.888,616.184,51521.4,363,138.588
"2003-08-01",701.267,652.173,49750.3,166,116.048
"2003-09-01",646.396,646.872,49277.8,456,119.526
"2003-10-01",694.531,685.817,53553.1,236,136.656
"2003-11-01",625.672,643.832,46492.2,356,118.109
"2003-12-01",673.243,672.212,53395.1,374,128.027
"2004-01-01",666.962,664.455,48608.6,228,119.011
"2004-02-01",638.684,625.198,67671,381,113.73
"2004-03-01",649.966,650.112,52494.3,387,132.792
"2004-04-01",630.909,633.543,50151.2,336,123.648
"2004-05-01",640.124,621.818,47001.6,429,119.912
"2004-06-01",659.596,651.982,49976.5,364,131.247
"2004-07-01",720.168,682.522,50698.8,396,133.179
"2004-08-01",719.512,712.623,50378,154,116.95
"2004-09-01",712.825,688.249,48779.6,225,127.512
"2004-10-01",717.545,726.556,48810.9,250,129.186
"2004-11-01",687.594,692.027,49409.1,338,133.179
"2004-12-01",696.165,690.99,51911,423,125.837
"2005-01-01",703.113,709.669,46855,319,128.284
"2005-02-01",636.303,637.724,43698.9,362,125.064
"2005-03-01",696.762,694.779,52266.7,418,132.02
"2005-04-01",666.372,650.238,49876.7,436,141.422
"2005-05-01",684.637,660.874,48470.9,443,126.481
"2005-06-01",691.545,682.744,49292.8,289,134.596
"2005-07-01",738.261,710.238,49119.3,482,135.884
"2005-08-01",756.942,739.09,51495.9,214,118.753
"2005-09-01",747.64,734.887,49166.2,311,130.216
"2005-10-01",761.155,766.611,48461.6,460,125.193
"2005-11-01",731.244,711.42,48326.1,285,123.776
"2005-12-01",734.235,746.389,51248,612,123.776
"2006-01-01",704.245,748.288,50166,394,107.419
"2006-02-01",687.641,666.263,43956.5,393,106.517
"2006-03-01",713.44,726.191,53848,270,130.216
"2006-04-01",703.681,684.648,47357.7,296,117.208
"2006-05-01",726.2,704.562,49055.9,328,127.64
"2006-06-01",729.854,716.375,49132.1,316,131.118
"2006-07-01",755.712,737.392,47702.6,577,129.315
"2006-08-01",798.827,778.095,50511.8,311,122.875
"2006-09-01",801.209,799.164,48241.5,449,128.542
"2006-10-01",803.808,796.003,50470.1,545,140.649
"2006-11-01",740.269,763.695,47950.1,506,143.225
"2006-12-01",769.537,645.763,50437.2,486,137.816
"2007-01-01",775.364,778.536,48223.6,384,136.399
"2007-02-01",682.223,681.813,44728.8,378,120.814
"2007-03-01",760.871,762.474,51493.2,350,128.928
"2007-04-01",720.735,721.212,49145.8,410,127.769
