"","Consumo.de.energía.eléctrica","Energía.eléctrica.disponible","Producción.bruta.de.energía.eléctrica","Índice.general"
"2002-01-01",526.359,565.698,572.701,121.072
"2002-02-01",487.985,520.844,511.077,112.442
"2002-03-01",537.951,578.247,572.68,123.648
"2002-04-01",502.315,549.146,533.724,121.973
"2002-05-01",506.321,556.962,523.486,121.587
"2002-06-01",504.975,548.822,516.473,122.102
"2002-07-01",535.413,589.735,558.572,134.338
"2002-08-01",548.705,605.251,569.279,118.238
"2002-09-01",568.512,608.532,606.941,119.912
"2002-10-01",602.189,642.734,633.996,135.884
"2002-11-01",570.829,609.773,603.756,125.837
"2002-12-01",549.103,606.25,627.737,111.412
"2003-01-01",562.332,609.047,619.64,120.17
"2003-02-01",517.992,562.315,551.342,118.109
"2003-03-01",568.998,615.635,618.748,124.936
"2003-04-01",551.307,592.066,588.952,130.732
"2003-05-01",555.943,604.655,589.189,120.17
"2003-06-01",575.64,616.456,586.892,120.814
"2003-07-01",607.12,656.888,616.184,138.588
"2003-08-01",651.617,701.267,652.173,116.048
"2003-09-01",596.123,646.396,646.872,119.526
"2003-10-01",641.495,694.531,685.817,136.656
"2003-11-01",583.128,625.672,643.832,118.109
"2003-12-01",624.338,673.243,672.212,128.027
"2004-01-01",618.389,666.962,664.455,119.011
"2004-02-01",582.379,638.684,625.198,113.73
"2004-03-01",625.512,649.966,650.112,132.792
"2004-04-01",572.275,630.909,633.543,123.648
"2004-05-01",591.167,640.124,621.818,119.912
"2004-06-01",637.441,659.596,651.982,131.247
"2004-07-01",681.908,720.168,682.522,133.179
"2004-08-01",654.754,719.512,712.623,116.95
"2004-09-01",699.8,712.825,688.249,127.512
"2004-10-01",617.949,717.545,726.556,129.186
"2004-11-01",683.131,687.594,692.027,133.179
"2004-12-01",591.076,696.165,690.99,125.837
"2005-01-01",659.38,703.113,709.669,128.284
"2005-02-01",583.366,636.303,637.724,125.064
"2005-03-01",658.497,696.762,694.779,132.02
"2005-04-01",619.492,666.372,650.238,141.422
"2005-05-01",641.069,684.637,660.874,126.481
"2005-06-01",627.54,691.545,682.744,134.596
"2005-07-01",670.479,738.261,710.238,135.884
"2005-08-01",739.945,756.942,739.09,118.753
"2005-09-01",651.198,747.64,734.887,130.216
"2005-10-01",707.506,761.155,766.611,125.193
"2005-11-01",686.601,731.244,711.42,123.776
"2005-12-01",680.773,734.235,746.389,123.776
"2006-01-01",653.315,704.245,748.288,107.419
"2006-02-01",642.293,687.641,666.263,106.517
"2006-03-01",635.12,713.44,726.191,130.216
"2006-04-01",674.606,703.681,684.648,117.208
"2006-05-01",690.736,726.2,704.562,127.64
"2006-06-01",680.659,729.854,716.375,131.118
"2006-07-01",726.556,755.712,737.392,129.315
"2006-08-01",683.864,798.827,778.095,122.875
"2006-09-01",742.99,801.209,799.164,128.542
"2006-10-01",754.355,803.808,796.003,140.649
"2006-11-01",680.392,740.269,763.695,143.225
"2006-12-01",713.452,769.537,645.763,137.816
"2007-01-01",712.442,775.364,778.536,136.399
"2007-02-01",626.689,682.223,681.813,120.814
"2007-03-01",695.952,760.871,762.474,128.928
"2007-04-01",665.15,720.735,721.212,127.769
"2007-05-01",717.515,758.317,739.046,132.277
"2007-06-01",688.611,750.011,732.781,122.875
"2007-07-01",742.49,804.45,766.546,131.247
"2007-08-01",747.887,794.752,780.648,118.496
"2007-09-01",727.577,790.401,770.882,114.76
"2007-10-01",749.016,807.334,812.101,128.542
"2007-11-01",720.555,769.675,785.442,122.36
"2007-12-01",735.458,795.076,789.952,121.2
"2008-01-01",724.983,791.091,799.979,124.807
"2008-02-01",679.992,732.55,739.576,122.875
"2008-03-01",714.013,774.147,756.14,120.943
"2008-04-01",711.708,763.269,743.485,127.64
"2008-05-01",705.579,770.018,753.569,123.132
"2008-06-01",716.58,753.225,733.028,114.374
"2008-07-01",741.582,807.724,771.82,138.975
"2008-08-01",757.725,808.77,769.043,112.056
"2008-09-01",740.322,790.413,797.66,120.428
"2008-10-01",744.784,787.258,779.534,125.064
"2008-11-01",712.566,753.391,748.849,119.14
"2008-12-01",742.775,786.142,777.815,116.306
"2009-01-01",714.878,769.674,759.858,102.911
"2009-02-01",641.329,683.154,675.099,107.805
"2009-03-01",698.149,748.41,743.437,109.093
"2009-04-01",669.496,718.184,663.591,106.646
"2009-05-01",685.265,731.546,694.407,109.093
"2009-06-01",696.276,752.412,712.771,109.351
"2009-07-01",723.753,753.722,755.401,114.374
"2009-08-01",737.621,812.648,752.023,101.88
"2009-09-01",715.926,771.77,750.553,106.904
"2009-10-01",720.911,802.48,797.399,110.768
"2009-11-01",697.37,749.466,739.141,107.419
"2009-12-01",722.45,802.176,752.982,115.018
"2010-01-01",693.874,752.872,749.17,106.517
"2010-02-01",619.097,671.422,666.297,98.145
"2010-03-01",688.471,749.664,736.787,110.51
"2010-04-01",660.616,710.859,677.852,103.555
"2010-05-01",670.109,721.891,680.459,100.592
"2010-06-01",671.505,720.829,682.456,111.283
"2010-07-01",708.239,766.716,727.802,120.685
