"","Consumo.de.energía.eléctrica","Precio.del.petróleo..barril.Brent.","FUELÓLEO","Superficie.a.construir.m2.","Índice.general"
"2002-01-01",526.359,1946,NA,434,121.072
"2002-02-01",487.985,2034,NA,345,112.442
"2002-03-01",537.951,2378,NA,304,123.648
"2002-04-01",502.315,2565,NA,334,121.973
"2002-05-01",506.321,2536,NA,238,121.587
"2002-06-01",504.975,2407,NA,184,122.102
"2002-07-01",535.413,2585,NA,486,134.338
"2002-08-01",548.705,2676,NA,191,118.238
"2002-09-01",568.512,2835,NA,296,119.912
"2002-10-01",602.189,2756,NA,468,135.884
"2002-11-01",570.829,2438,NA,561,125.837
"2002-12-01",549.103,2847,NA,392,111.412
"2003-01-01",562.332,3127,6063.7,223,120.17
"2003-02-01",517.992,3282,4107.6,440,118.109
"2003-03-01",568.998,3028,11630.8,504,124.936
"2003-04-01",551.307,2491,65682.8,856,130.732
"2003-05-01",555.943,2580,5889.4,322,120.17
"2003-06-01",575.64,2755,47599.1,246,120.814
"2003-07-01",607.12,2852,17360.1,363,138.588
"2003-08-01",651.617,2984,47600.2,166,116.048
"2003-09-01",596.123,2694,26291.3,456,119.526
"2003-10-01",641.495,2956,19812.7,236,136.656
"2003-11-01",583.128,2888,21421.7,356,118.109
"2003-12-01",624.338,2995,22261.1,374,128.027
"2004-01-01",618.389,3134,3588.9,228,119.011
"2004-02-01",582.379,3086,46301.8,381,113.73
"2004-03-01",625.512,3380,42328.8,387,132.792
"2004-04-01",572.275,3352,46495.4,336,123.648
"2004-05-01",591.167,3756,32463.2,429,119.912
"2004-06-01",637.441,3524,47561.3,364,131.247
"2004-07-01",681.908,3832,46819.8,396,133.179
"2004-08-01",654.754,4268,24137.8,154,116.95
"2004-09-01",699.8,4331,3467.9,225,127.512
"2004-10-01",617.949,4984,3504.3,250,129.186
"2004-11-01",683.131,4346,3866.7,338,133.179
"2004-12-01",591.076,3973,3695.7,423,125.837
"2005-01-01",659.38,4406,3625.8,319,128.284
"2005-02-01",583.366,4540,18956.3,362,125.064
"2005-03-01",658.497,5312,4345.5,418,132.02
"2005-04-01",619.492,5112,4530.8,436,141.422
"2005-05-01",641.069,4801,5541.2,443,126.481
"2005-06-01",627.54,5396,4266.2,289,134.596
"2005-07-01",670.479,5768,4100.1,482,135.884
"2005-08-01",739.945,6437,3700.3,214,118.753
"2005-09-01",651.198,6266,4028.4,311,130.216
"2005-10-01",707.506,5832,3593.3,460,125.193
"2005-11-01",686.601,5501,4225.8,285,123.776
"2005-12-01",680.773,5651,3910.2,612,123.776
"2006-01-01",653.315,6287,4213.1,394,107.419
"2006-02-01",642.293,5966,40619.2,393,106.517
"2006-03-01",635.12,6159,23388.5,270,130.216
"2006-04-01",674.606,7044,4113.7,296,117.208
"2006-05-01",690.736,6949,4041.6,328,127.64
"2006-06-01",680.659,6814,4498,316,131.118
"2006-07-01",726.556,7346,4124.5,577,129.315
"2006-08-01",683.864,7290,4092.9,311,122.875
