"","X1","2011 Noviembre","2011 Octubre","2011 Septiembre","2011 Agosto","2011 Julio","2011 Junio","2011 Mayo","2011 Abril","2011 Marzo","2011 Febrero","2011 Enero","2010 Diciembre","2010 Noviembre","2010 Octubre","2010 Septiembre","2010 Agosto","2010 Julio","2010 Junio","2010 Mayo","2010 Abril","2010 Marzo","2010 Febrero","2010 Enero","2009 Diciembre","2009 Noviembre","2009 Octubre","2009 Septiembre","2009 Agosto","2009 Julio","2009 Junio","2009 Mayo","2009 Abril","2009 Marzo","2009 Febrero","2009 Enero","2008 Diciembre","2008 Noviembre","2008 Octubre","2008 Septiembre","2008 Agosto","2008 Julio","2008 Junio","2008 Mayo","2008 Abril","2008 Marzo","2008 Febrero","2008 Enero","2007 Diciembre","2007 Noviembre","2007 Octubre","2007 Septiembre","2007 Agosto","2007 Julio","2007 Junio","2007 Mayo","2007 Abril","2007 Marzo","2007 Febrero","2007 Enero","2006 Diciembre","2006 Noviembre","2006 Octubre","2006 Septiembre","2006 Agosto","2006 Julio","2006 Junio","2006 Mayo","2006 Abril","2006 Marzo","2006 Febrero","2006 Enero","2005 Diciembre","2005 Noviembre","2005 Octubre","2005 Septiembre","2005 Agosto","2005 Julio","2005 Junio","2005 Mayo","2005 Abril","2005 Marzo","2005 Febrero","2005 Enero","2004 Diciembre","2004 Noviembre","2004 Octubre","2004 Septiembre","2004 Agosto","2004 Julio","2004 Junio","2004 Mayo","2004 Abril","2004 Marzo","2004 Febrero","2004 Enero","2003 Diciembre","2003 Noviembre","2003 Octubre","2003 Septiembre","2003 Agosto","2003 Julio","2003 Junio","2003 Mayo","2003 Abril","2003 Marzo","2003 Febrero","2003 Enero","2002 Diciembre","2002 Noviembre","2002 Octubre","2002 Septiembre","2002 Agosto","2002 Julio","2002 Junio","2002 Mayo","2002 Abril","2002 Marzo","2002 Febrero","2002 Enero"
"1","ÍNDICE GENERAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Canarias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Índices de Producción Industrial (IPI)","111,835","108,283","110,186","115,072","116,484","113,228","109,376","103,712","110,191","98,478",101631,109093,"110,639",103426,"108,192","112,700",120685,111283,100592,"103,555",110510,98145,106517,115018,107419,110768,106904,"101,880",114374,109351,"109,093",106646,109093,"107,805",102911,"116,306",119140,125064,120428,112056,138975,114374,123132,"127,640",120943,122875,124807,121200,"122,360","128,542","114,760",118496,"131,247","122,875",132277,127769,128928,120814,136399,"137,816","143,225",140649,128542,122875,129315,131118,"127,640",117208,"130,216",106517,107419,123776,123776,125193,130216,118753,"135,884","134,596",126481,141422,"132,020","125,064","128,284",125837,133179,"129,186","127,512","116,950","133,179","131,247",119912,123648,"132,792",113730,"119,011","128,027","118,109","136,656","119,526","116,048",138588,"120,814","120,170",130732,124936,"118,109",120170,"111,412","125,837","135,884","119,912","118,238","134,338","122,102","121,587","121,973","123,648","112,442","121,072"
"4","Tasas de variación anual","1,1","4,7","1,8","2,1","-3,5","1,7","8,7","0,2","-0,3","0,3",-46,-52,"3,0",-66,"1,2","10,6",55,18,-78,"-2,9",13,-90,35,-11,-98,-114,-112,"-9,1",-177,-44,"-11,4",-164,-98,"-12,3",-175,"-4,0",-26,-27,49,-54,59,-69,-69,"-0,1",-62,17,-85,-121,"-14,6","-8,6","-10,7",-36,"1,5","-6,3",36,90,-10,134,270,"11,3","15,7",123,-13,35,-48,-26,"0,9",-171,"-1,4",-148,-163,-16,-71,-31,21,15,"2,0","2,6",55,144,"-0,6","10,0","7,8",-17,128,"-5,5","6,7","0,8","-3,9","8,6",-2,-54,"6,3",-37,"-1,0","14,9","-6,1","0,6","-0,3","-1,9",32,"-1,1","-1,2",72,10,"5,0",-7,"..","..","..","..","..","..","..","..","..","..","..",".."
"5","Tasas de variación de la media en lo que va de año","1,0","1,0","0,6","0,5","0,2","1,0","0,8","-1,1","-1,5","-2,2",-46,-5,"0,0",-3,"0,4","0,3",-11,-22,-30,"-1,8",-14,-29,35,-112,-121,-123,-124,"-12,6",-130,-121,"-13,5",-141,-132,"-14,9",-175,"-2,7",-25,-25,-25,-33,-31,-46,-41,"-3,4",-45,-37,-85,-11,"0,0","1,7","3,0",48,"6,0","6,8",97,114,122,202,270,"-1,5","-2,6",-43,-61,-67,-80,-86,"-9,8",-124,"-10,7",-156,-163,26,30,41,49,53,"5,8","6,4",73,77,"5,4","8,9","7,8",10,12,"0,1","0,8","0,1","0,0","0,7",-8,-10,"0,6",-23,"-1,0","1,6","0,5","1,2","1,3","1,5",19,"1,7","2,2",31,17,"2,0",-7,"..","..","..","..","..","..","..","..","..","..","..",".."
"6","BIENES DE CONSUMO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Canarias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Índices de Producción Industrial (IPI)","111,262","107,440","107,163","109,731","106,483","108,169","103,234","99,238","108,315","93,928",92494,98847,"106,222",91591,"93,732","92,900",112526,105389,98490,"99,085",113597,99442,88498,96468,103248,99442,102772,"91,948",115619,107292,"101,940",107411,120734,"103,129",109315,"111,813",116689,129417,124778,97658,124302,108839,108244,"111,813",102653,105270,114548,110980,"120,020","124,659","104,081",113240,"133,461","116,214",122994,111575,127990,105746,119425,"113,835","132,986",126562,120496,117998,123113,130726,"119,663",114310,"126,205",93137,106817,113478,117165,109315,124778,108244,"128,941","125,254",108125,149876,"124,183","105,984","112,050",119187,124897,"117,522","127,038","110,623","139,290","141,431",111931,118950,"133,342",106103,"111,218","103,962","111,931","129,060","108,720","103,605",132510,"123,351","117,641",117760,113478,"97,539",110623,"95,635","110,147","120,377","103,962","104,913","120,734","109,077","109,671","118,712","118,593","105,032","113,597"
"9","Tasas de variación anual","4,7","17,3","14,3","18,1","-5,4","2,6","4,8","0,2","-4,6","-5,5",45,25,"2,9",-79,"-8,8","1,0",-27,-18,-34,"-7,8",-59,-36,-190,-137,-115,-232,-176,"-5,8",-70,-14,"-5,8",-39,176,"-2,0",-46,"0,8",-28,38,199,-138,-69,-63,-120,"0,2",-198,-4,-41,-25,"-9,7","-1,5","-13,6",-40,"8,4","-11,1",28,-24,14,135,118,"0,3","13,5",158,-34,90,-45,44,"10,7",-237,"1,6",-121,-47,-48,-62,-70,-18,-22,"-7,4","-11,4",-34,260,"-6,9","-0,1","0,7",146,116,"-8,9","16,8","6,8","5,1","14,7",-49,10,"17,5",88,"0,5","8,7","1,6","7,2","4,6","-1,2",98,"13,1","7,3",-8,-43,"-7,1",-26,"..","..","..","..","..","..","..","..","..","..","..",".."
"10","Tasas de variación de la media en lo que va de año","4,2","4,1","2,8","1,4","-0,7","0,1","-0,4","-1,7","-2,3","-0,8",45,-47,"-5,3",-61,"-5,9","-5,5",-63,-70,-80,"-9,1",-95,-115,-190,-71,-65,-60,-38,"-1,8",-13,-2,"0,0",15,33,"-3,4",-46,"-3,9",-42,-44,-54,-81,-74,-75,-77,"-6,6",-87,-24,-41,-11,"-1,0","0,0","0,2",20,"2,9","1,9",49,55,83,126,118,"-0,1","-0,1",-15,-32,-32,-47,-48,"-6,7",-105,"-4,7",-83,-47,-23,-21,-17,-11,-11,"-0,9","0,3",32,48,"-2,4","0,3","0,7",67,60,"5,5","7,3","6,2","6,1","6,3",44,69,"9,0",44,"0,5","3,0","2,5","2,6","2,1","1,8",22,"0,8","-1,5",-36,-46,"-4,8",-26,"..","..","..","..","..","..","..","..","..","..","..",".."
